observation_id,origin,destination,route,airline,travel_date,search_date,search_time,search_hour,lead_time,lead_time_days,fare_class,base_fare,taxes,fees,total_fare,availability,usable_for_index,source,timestamp,year,month,week,day_of_week,travel_month,route_median_fare,fare_deviation_pct,fare_consistency_flag,validation_status,validation_reason,duplicate_flag,outlier_flag
A0048,BOM,BLR,BOM-BLR,Air India,2026-10-05,2026-09-05,02:56,2,T+30,30,Economy,7019,937,193,8149,AVAILABLE,True,Sample Data,2026-09-05 02:56:00,2026,10,41,Monday,2026-10,6133.5,32.86,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0049,MAA,DEL,MAA-DEL,Air India,2026-10-20,2026-09-05,13:08,13,T+45,45,Economy,2795,878,199,3872,AVAILABLE,True,Sample Data,2026-09-05 13:08:00,2026,10,43,Tuesday,2026-10,7393.0,-47.63,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0050,DEL,BOM,DEL-BOM,Air India Express,2026-09-20,2026-09-05,21:06,21,T+15,15,Economy,2826,866,103,3795,AVAILABLE,True,Sample Data,2026-09-05 21:06:00,2026,9,38,Sunday,2026-09,7207.0,-47.34,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0051,BOM,BLR,BOM-BLR,SpiceJet,2026-10-05,2026-09-05,05:51,5,T+30,30,Economy,7584,658,286,8528,SOLD_OUT,False,Sample Data,2026-09-05 05:51:00,2026,10,41,Monday,2026-10,6133.5,39.04,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0052,DEL,BLR,DEL-BLR,Akasa Air,2026-09-06,2026-09-05,21:55,21,T+1,1,Economy,3969,840,250,5059,SOLD_OUT,False,Sample Data,2026-09-05 21:55:00,2026,9,36,Sunday,2026-09,6927.0,-26.97,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0053,MAA,DEL,MAA-DEL,Air India,2026-09-20,2026-09-05,15:14,15,T+15,15,Economy,3804,610,147,4561,AVAILABLE,True,Sample Data,2026-09-05 15:14:00,2026,9,38,Sunday,2026-09,7393.0,-38.31,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0054,DEL,BLR,DEL-BLR,Akasa Air,2026-09-20,2026-09-05,06:25,6,T+15,15,Economy,5000,733,107,5840,AVAILABLE,True,Sample Data,2026-09-05 06:25:00,2026,9,38,Sunday,2026-09,6927.0,-15.69,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0055,BOM,BLR,BOM-BLR,Air India Express,2026-09-06,2026-09-05,12:43,12,T+1,1,Economy,8835,785,139,9759,AVAILABLE,True,Sample Data,2026-09-05 12:43:00,2026,9,36,Sunday,2026-09,6133.5,59.11,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0056,BLR,HYD,BLR-HYD,Air India Express,2026-09-06,2026-09-05,08:02,8,T+1,1,Economy,3444,767,95,4306,AVAILABLE,True,Sample Data,2026-09-05 08:02:00,2026,9,36,Sunday,2026-09,6792.5,-36.61,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0057,DEL,BOM,DEL-BOM,SpiceJet,2026-10-05,2026-09-05,16:07,16,T+30,30,Economy,5331,821,161,6313,AVAILABLE,True,Sample Data,2026-09-05 16:07:00,2026,10,41,Monday,2026-10,7207.0,-12.4,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0058,DEL,CCU,DEL-CCU,SpiceJet,2026-09-12,2026-09-05,16:59,16,T+7,7,Economy,4586,545,231,5362,AVAILABLE,True,Sample Data,2026-09-05 16:59:00,2026,9,37,Saturday,2026-09,6581.5,-18.53,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0059,BLR,HYD,BLR-HYD,Air India,2026-09-20,2026-09-05,10:39,10,T+15,15,Economy,6033,571,292,6896,AVAILABLE,True,Sample Data,2026-09-05 10:39:00,2026,9,38,Sunday,2026-09,6792.5,1.52,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0060,BOM,BLR,BOM-BLR,IndiGo,2026-09-20,2026-09-05,12:44,12,T+15,15,Economy,6654,816,220,7690,AVAILABLE,True,Sample Data,2026-09-05 12:44:00,2026,9,38,Sunday,2026-09,6133.5,25.38,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0061,BOM,BLR,BOM-BLR,SpiceJet,2026-09-12,2026-09-05,21:47,21,T+7,7,Economy,4071,930,220,5221,SOLD_OUT,False,Sample Data,2026-09-05 21:47:00,2026,9,37,Saturday,2026-09,6133.5,-14.88,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0062,DEL,BLR,DEL-BLR,SpiceJet,2026-10-20,2026-09-05,09:18,9,T+45,45,Economy,4965,915,190,6070,AVAILABLE,True,Sample Data,2026-09-05 09:18:00,2026,10,43,Tuesday,2026-10,6927.0,-12.37,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0063,DEL,BLR,DEL-BLR,Akasa Air,2026-10-20,2026-09-05,14:43,14,T+45,45,Economy,7469,1170,132,8771,AVAILABLE,True,Sample Data,2026-09-05 14:43:00,2026,10,43,Tuesday,2026-10,6927.0,26.62,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0064,DEL,BLR,DEL-BLR,SpiceJet,2026-10-05,2026-09-05,16:42,16,T+30,30,Economy,8528,673,218,9419,AVAILABLE,True,Sample Data,2026-09-05 16:42:00,2026,10,41,Monday,2026-10,6927.0,35.98,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0065,MAA,DEL,MAA-DEL,SpiceJet,2026-09-20,2026-09-05,06:09,6,T+15,15,Economy,3265,740,222,4227,AVAILABLE,True,Sample Data,2026-09-05 06:09:00,2026,9,38,Sunday,2026-09,7393.0,-42.82,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0066,DEL,BOM,DEL-BOM,IndiGo,2026-09-12,2026-09-05,14:26,14,T+7,7,Economy,6392,1125,267,7784,AVAILABLE,True,Sample Data,2026-09-05 14:26:00,2026,9,37,Saturday,2026-09,7207.0,8.01,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0067,MAA,DEL,MAA-DEL,SpiceJet,2026-09-12,2026-09-05,04:41,4,T+7,7,Economy,8384,893,176,9453,AVAILABLE,True,Sample Data,2026-09-05 04:41:00,2026,9,37,Saturday,2026-09,7393.0,27.86,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0068,MAA,DEL,MAA-DEL,IndiGo,2026-09-06,2026-09-05,22:33,22,T+1,1,Economy,8876,935,106,9917,AVAILABLE,True,Sample Data,2026-09-05 22:33:00,2026,9,36,Sunday,2026-09,7393.0,34.14,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0069,DEL,CCU,DEL-CCU,IndiGo,2026-10-20,2026-09-05,14:42,14,T+45,45,Economy,4541,624,166,5331,AVAILABLE,True,Sample Data,2026-09-05 14:42:00,2026,10,43,Tuesday,2026-10,6581.5,-19.0,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0070,BLR,HYD,BLR-HYD,SpiceJet,2026-10-20,2026-09-05,16:27,16,T+45,45,Economy,5099,953,206,6258,AVAILABLE,True,Sample Data,2026-09-05 16:27:00,2026,10,43,Tuesday,2026-10,6792.5,-7.87,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0071,BLR,HYD,BLR-HYD,Akasa Air,2026-09-12,2026-09-05,07:53,7,T+7,7,Economy,8592,986,165,9743,AVAILABLE,True,Sample Data,2026-09-05 07:53:00,2026,9,37,Saturday,2026-09,6792.5,43.44,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0072,MAA,DEL,MAA-DEL,Air India Express,2026-10-20,2026-09-05,02:45,2,T+45,45,Economy,6469,1141,111,7721,AVAILABLE,True,Sample Data,2026-09-05 02:45:00,2026,10,43,Tuesday,2026-10,7393.0,4.44,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0073,BOM,BLR,BOM-BLR,Air India,2026-09-20,2026-09-05,04:09,4,T+15,15,Economy,5251,827,278,6356,AVAILABLE,True,Sample Data,2026-09-05 04:09:00,2026,9,38,Sunday,2026-09,6133.5,3.63,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0074,DEL,BLR,DEL-BLR,Akasa Air,2026-09-12,2026-09-05,10:34,10,T+7,7,Economy,8286,719,66,9071,AVAILABLE,True,Sample Data,2026-09-05 10:34:00,2026,9,37,Saturday,2026-09,6927.0,30.95,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0075,DEL,CCU,DEL-CCU,Akasa Air,2026-09-06,2026-09-05,18:44,18,T+1,1,Economy,4194,930,149,5273,SOLD_OUT,False,Sample Data,2026-09-05 18:44:00,2026,9,36,Sunday,2026-09,6581.5,-19.88,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0076,DEL,BOM,DEL-BOM,SpiceJet,2026-10-05,2026-09-05,12:54,12,T+30,30,Economy,6407,506,291,7204,AVAILABLE,True,Sample Data,2026-09-05 12:54:00,2026,10,41,Monday,2026-10,7207.0,-0.04,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0077,DEL,CCU,DEL-CCU,SpiceJet,2026-10-20,2026-09-05,13:31,13,T+45,45,Economy,7441,725,174,8340,AVAILABLE,True,Sample Data,2026-09-05 13:31:00,2026,10,43,Tuesday,2026-10,6581.5,26.72,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0078,DEL,BOM,DEL-BOM,Akasa Air,2026-09-20,2026-09-05,05:53,5,T+15,15,Economy,7979,1195,254,9428,AVAILABLE,True,Sample Data,2026-09-05 05:53:00,2026,9,38,Sunday,2026-09,7207.0,30.82,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0079,DEL,CCU,DEL-CCU,Air India,2026-10-20,2026-09-05,18:42,18,T+45,45,Economy,6875,527,282,7684,AVAILABLE,True,Sample Data,2026-09-05 18:42:00,2026,10,43,Tuesday,2026-10,6581.5,16.75,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0080,DEL,BOM,DEL-BOM,IndiGo,2026-10-05,2026-09-05,12:20,12,T+30,30,Economy,3611,972,96,4679,AVAILABLE,True,Sample Data,2026-09-05 12:20:00,2026,10,41,Monday,2026-10,7207.0,-35.08,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0081,DEL,BLR,DEL-BLR,Akasa Air,2026-09-20,2026-09-05,13:16,13,T+15,15,Economy,5264,888,121,6273,AVAILABLE,True,Sample Data,2026-09-05 13:16:00,2026,9,38,Sunday,2026-09,6927.0,-9.44,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0082,DEL,BOM,DEL-BOM,Akasa Air,2026-09-06,2026-09-05,11:14,11,T+1,1,Economy,8636,1052,63,9751,MISSING,False,Sample Data,2026-09-05 11:14:00,2026,9,36,Sunday,2026-09,7207.0,35.3,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0083,MAA,DEL,MAA-DEL,IndiGo,2026-09-06,2026-09-05,00:39,0,T+1,1,Economy,8678,531,293,9502,AVAILABLE,True,Sample Data,2026-09-05 00:39:00,2026,9,36,Sunday,2026-09,7393.0,28.53,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0084,DEL,BLR,DEL-BLR,Air India,2026-09-12,2026-09-05,06:29,6,T+7,7,Economy,6379,1185,79,7643,AVAILABLE,True,Sample Data,2026-09-05 06:29:00,2026,9,37,Saturday,2026-09,6927.0,10.34,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0085,MAA,DEL,MAA-DEL,Air India Express,2026-09-20,2026-09-05,22:07,22,T+15,15,Economy,3874,1120,205,5199,SOLD_OUT,False,Sample Data,2026-09-05 22:07:00,2026,9,38,Sunday,2026-09,7393.0,-29.68,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0086,DEL,BLR,DEL-BLR,Air India Express,2026-09-06,2026-09-05,21:58,21,T+1,1,Economy,7240,526,287,8053,AVAILABLE,True,Sample Data,2026-09-05 21:58:00,2026,9,36,Sunday,2026-09,6927.0,16.26,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0087,DEL,CCU,DEL-CCU,Akasa Air,2026-09-12,2026-09-05,07:06,7,T+7,7,Economy,3122,1106,226,4454,AVAILABLE,True,Sample Data,2026-09-05 07:06:00,2026,9,37,Saturday,2026-09,6581.5,-32.33,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0088,MAA,DEL,MAA-DEL,Air India Express,2026-10-20,2026-09-05,17:27,17,T+45,45,Economy,3491,1079,250,4820,AVAILABLE,True,Sample Data,2026-09-05 17:27:00,2026,10,43,Tuesday,2026-10,7393.0,-34.8,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
