observation_id,origin,destination,airline,travel_date,search_date,search_time,lead_time,fare_class,base_fare,taxes,fees,total_fare,availability,source,timestamp
A0017,BLR,HYD,Akasa Air,2026-10-20,2026-09-05,21:46,T+45,Economy,4559,1066,270,5895,SOLD_OUT,Sample Data,2026-09-05 21:46
A0018,DEL,BOM,SpiceJet,2026-09-20,2026-09-05,13:10,T+15,Economy,8796,1156,137,10089,AVAILABLE,Sample Data,2026-09-05 13:10
A0019,DEL,CCU,IndiGo,2026-09-20,2026-09-05,20:19,T+15,Economy,6600,682,179,7461,SOLD_OUT,Sample Data,2026-09-05 20:19
A0020,MAA,DEL,SpiceJet,2026-10-20,2026-09-05,17:49,T+45,Economy,4129,656,145,4930,AVAILABLE,Sample Data,2026-09-05 17:49
A0021,BLR,HYD,IndiGo,2026-10-20,2026-09-05,11:56,T+45,Economy,5155,1000,54,6209,AVAILABLE,Sample Data,2026-09-05 11:56
A0022,BOM,BLR,Air India,2026-09-06,2026-09-05,23:31,T+1,Economy,4473,1080,292,5845,AVAILABLE,Sample Data,2026-09-05 23:31
A0023,DEL,BOM,SpiceJet,2026-09-12,2026-09-05,05:16,T+7,Economy,3551,1175,171,4897,SOLD_OUT,Sample Data,2026-09-05 05:16
A0024,BLR,HYD,SpiceJet,2026-10-05,2026-09-05,06:45,T+30,Economy,4235,1052,243,5530,AVAILABLE,Sample Data,2026-09-05 06:45
A0025,BOM,BLR,Akasa Air,2026-09-20,2026-09-05,07:04,T+15,Economy,6088,1029,165,7282,AVAILABLE,Sample Data,2026-09-05 07:04
A0026,BOM,BLR,IndiGo,2026-10-20,2026-09-05,02:45,T+45,Economy,7037,735,200,7972,AVAILABLE,Sample Data,2026-09-05 02:45
A0027,MAA,DEL,IndiGo,2026-09-12,2026-09-05,16:15,T+7,Economy,3052,532,270,3854,AVAILABLE,Sample Data,2026-09-05 16:15
A0028,BOM,BLR,Akasa Air,2026-09-12,2026-09-05,18:36,T+7,Economy,6917,635,235,7787,SOLD_OUT,Sample Data,2026-09-05 18:36
A0029,DEL,CCU,Air India,2026-10-05,2026-09-05,13:22,T+30,Economy,5834,694,74,6602,AVAILABLE,Sample Data,2026-09-05 13:22
A0030,DEL,CCU,Akasa Air,2026-10-05,2026-09-05,20:06,T+30,Economy,8472,555,222,9249,AVAILABLE,Sample Data,2026-09-05 20:06
A0031,DEL,BOM,Akasa Air,2026-09-20,2026-09-05,14:08,T+15,Economy,3395,754,99,4248,AVAILABLE,Sample Data,2026-09-05 14:08
A0032,DEL,CCU,Air India,2026-09-20,2026-09-05,14:51,T+15,Economy,6289,755,273,7317,SOLD_OUT,Sample Data,2026-09-05 14:51
A0033,BLR,HYD,IndiGo,2026-09-06,2026-09-05,02:59,T+1,Economy,7842,1053,264,9159,AVAILABLE,Sample Data,2026-09-05 02:59
A0034,DEL,BLR,Air India,2026-10-05,2026-09-05,01:10,T+30,Economy,6478,992,104,7574,AVAILABLE,Sample Data,2026-09-05 01:10
A0035,DEL,CCU,IndiGo,2026-10-05,2026-09-05,23:50,T+30,Economy,4672,965,123,5760,AVAILABLE,Sample Data,2026-09-05 23:50
A0036,BLR,HYD,Akasa Air,2026-09-12,2026-09-05,18:47,T+7,Economy,4055,803,105,4963,SOLD_OUT,Sample Data,2026-09-05 18:47
A0037,BLR,HYD,IndiGo,2026-09-20,2026-09-05,16:10,T+15,Economy,2968,551,199,3718,AVAILABLE,Sample Data,2026-09-05 16:10
A0038,DEL,BOM,SpiceJet,2026-09-06,2026-09-05,07:25,T+1,Economy,4022,570,202,4794,AVAILABLE,Sample Data,2026-09-05 07:25
A0039,DEL,BOM,SpiceJet,2026-09-12,2026-09-05,13:42,T+7,Economy,7242,1108,60,8410,AVAILABLE,Sample Data,2026-09-05 13:42
A0040,BLR,HYD,SpiceJet,2026-10-20,2026-09-05,10:15,T+45,Economy,5091,767,102,5960,AVAILABLE,Sample Data,2026-09-05 10:15
A0041,BOM,BLR,Akasa Air,2026-09-12,2026-09-05,02:00,T+7,Economy,8002,1160,126,9288,AVAILABLE,Sample Data,2026-09-05 02:00
A0042,DEL,CCU,SpiceJet,2026-10-20,2026-09-05,08:08,T+45,Economy,3319,575,187,4081,AVAILABLE,Sample Data,2026-09-05 08:08
A0043,BOM,BLR,IndiGo,2026-09-12,2026-09-05,17:45,T+7,Economy,5527,791,90,6408,AVAILABLE,Sample Data,2026-09-05 17:45
A0044,BOM,BLR,SpiceJet,2026-10-20,2026-09-05,21:06,T+45,Economy,2564,1183,259,4006,AVAILABLE,Sample Data,2026-09-05 21:06
A0045,DEL,BLR,Air India Express,2026-09-06,2026-09-05,19:13,T+1,Economy,3376,1066,89,4531,AVAILABLE,Sample Data,2026-09-05 19:13
A0046,MAA,DEL,Air India Express,2026-09-12,2026-09-05,15:16,T+7,Economy,8131,1149,268,9548,AVAILABLE,Sample Data,2026-09-05 15:16
A0047,DEL,BOM,IndiGo,2026-10-05,2026-09-05,04:40,T+30,Economy,4766,545,50,5361,AVAILABLE,Sample Data,2026-09-05 04:40
A0048,BOM,BLR,Air India,2026-10-05,2026-09-05,02:56,T+30,Economy,7019,937,193,8149,AVAILABLE,Sample Data,2026-09-05 02:56
A0049,MAA,DEL,Air India,2026-10-20,2026-09-05,13:08,T+45,Economy,2795,878,199,3872,AVAILABLE,Sample Data,2026-09-05 13:08
A0050,DEL,BOM,Air India Express,2026-09-20,2026-09-05,21:06,T+15,Economy,2826,866,103,3795,AVAILABLE,Sample Data,2026-09-05 21:06
A0051,BOM,BLR,SpiceJet,2026-10-05,2026-09-05,05:51,T+30,Economy,7584,658,286,8528,SOLD_OUT,Sample Data,2026-09-05 05:51
A0052,DEL,BLR,Akasa Air,2026-09-06,2026-09-05,21:55,T+1,Economy,3969,840,250,5059,SOLD_OUT,Sample Data,2026-09-05 21:55
A0053,MAA,DEL,Air India,2026-09-20,2026-09-05,15:14,T+15,Economy,3804,610,147,4561,AVAILABLE,Sample Data,2026-09-05 15:14
A0054,DEL,BLR,Akasa Air,2026-09-20,2026-09-05,06:25,T+15,Economy,5000,733,107,5840,AVAILABLE,Sample Data,2026-09-05 06:25
A0055,BOM,BLR,Air India Express,2026-09-06,2026-09-05,12:43,T+1,Economy,8835,785,139,9759,AVAILABLE,Sample Data,2026-09-05 12:43
A0056,BLR,HYD,Air India Express,2026-09-06,2026-09-05,08:02,T+1,Economy,3444,767,95,4306,AVAILABLE,Sample Data,2026-09-05 08:02
A0057,DEL,BOM,SpiceJet,2026-10-05,2026-09-05,16:07,T+30,Economy,5331,821,161,6313,AVAILABLE,Sample Data,2026-09-05 16:07
A0058,DEL,CCU,SpiceJet,2026-09-12,2026-09-05,16:59,T+7,Economy,4586,545,231,5362,AVAILABLE,Sample Data,2026-09-05 16:59
A0059,BLR,HYD,Air India,2026-09-20,2026-09-05,10:39,T+15,Economy,6033,571,292,6896,AVAILABLE,Sample Data,2026-09-05 10:39
A0060,BOM,BLR,IndiGo,2026-09-20,2026-09-05,12:44,T+15,Economy,6654,816,220,7690,AVAILABLE,Sample Data,2026-09-05 12:44
A0061,BOM,BLR,SpiceJet,2026-09-12,2026-09-05,21:47,T+7,Economy,4071,930,220,5221,SOLD_OUT,Sample Data,2026-09-05 21:47
A0062,DEL,BLR,SpiceJet,2026-10-20,2026-09-05,09:18,T+45,Economy,4965,915,190,6070,AVAILABLE,Sample Data,2026-09-05 09:18
A0063,DEL,BLR,Akasa Air,2026-10-20,2026-09-05,14:43,T+45,Economy,7469,1170,132,8771,AVAILABLE,Sample Data,2026-09-05 14:43
A0064,DEL,BLR,SpiceJet,2026-10-05,2026-09-05,16:42,T+30,Economy,8528,673,218,9419,AVAILABLE,Sample Data,2026-09-05 16:42
A0065,MAA,DEL,SpiceJet,2026-09-20,2026-09-05,06:09,T+15,Economy,3265,740,222,4227,AVAILABLE,Sample Data,2026-09-05 06:09
A0066,DEL,BOM,IndiGo,2026-09-12,2026-09-05,14:26,T+7,Economy,6392,1125,267,7784,AVAILABLE,Sample Data,2026-09-05 14:26
A0067,MAA,DEL,SpiceJet,2026-09-12,2026-09-05,04:41,T+7,Economy,8384,893,176,9453,AVAILABLE,Sample Data,2026-09-05 04:41
A0068,MAA,DEL,IndiGo,2026-09-06,2026-09-05,22:33,T+1,Economy,8876,935,106,9917,AVAILABLE,Sample Data,2026-09-05 22:33
A0069,DEL,CCU,IndiGo,2026-10-20,2026-09-05,14:42,T+45,Economy,4541,624,166,5331,AVAILABLE,Sample Data,2026-09-05 14:42
A0070,BLR,HYD,SpiceJet,2026-10-20,2026-09-05,16:27,T+45,Economy,5099,953,206,6258,AVAILABLE,Sample Data,2026-09-05 16:27
A0071,BLR,HYD,Akasa Air,2026-09-12,2026-09-05,07:53,T+7,Economy,8592,986,165,9743,AVAILABLE,Sample Data,2026-09-05 07:53
A0072,MAA,DEL,Air India Express,2026-10-20,2026-09-05,02:45,T+45,Economy,6469,1141,111,7721,AVAILABLE,Sample Data,2026-09-05 02:45
A0073,BOM,BLR,Air India,2026-09-20,2026-09-05,04:09,T+15,Economy,5251,827,278,6356,AVAILABLE,Sample Data,2026-09-05 04:09
A0074,DEL,BLR,Akasa Air,2026-09-12,2026-09-05,10:34,T+7,Economy,8286,719,66,9071,AVAILABLE,Sample Data,2026-09-05 10:34
A0075,DEL,CCU,Akasa Air,2026-09-06,2026-09-05,18:44,T+1,Economy,4194,930,149,5273,SOLD_OUT,Sample Data,2026-09-05 18:44
A0076,DEL,BOM,SpiceJet,2026-10-05,2026-09-05,12:54,T+30,Economy,6407,506,291,7204,AVAILABLE,Sample Data,2026-09-05 12:54
A0077,DEL,CCU,SpiceJet,2026-10-20,2026-09-05,13:31,T+45,Economy,7441,725,174,8340,AVAILABLE,Sample Data,2026-09-05 13:31
A0078,DEL,BOM,Akasa Air,2026-09-20,2026-09-05,05:53,T+15,Economy,7979,1195,254,9428,AVAILABLE,Sample Data,2026-09-05 05:53
A0079,DEL,CCU,Air India,2026-10-20,2026-09-05,18:42,T+45,Economy,6875,527,282,7684,AVAILABLE,Sample Data,2026-09-05 18:42
A0080,DEL,BOM,IndiGo,2026-10-05,2026-09-05,12:20,T+30,Economy,3611,972,96,4679,AVAILABLE,Sample Data,2026-09-05 12:20
A0081,DEL,BLR,Akasa Air,2026-09-20,2026-09-05,13:16,T+15,Economy,5264,888,121,6273,AVAILABLE,Sample Data,2026-09-05 13:16
A0082,DEL,BOM,Akasa Air,2026-09-06,2026-09-05,11:14,T+1,Economy,8636,1052,63,9751,MISSING,Sample Data,2026-09-05 11:14
A0083,MAA,DEL,IndiGo,2026-09-06,2026-09-05,00:39,T+1,Economy,8678,531,293,9502,AVAILABLE,Sample Data,2026-09-05 00:39
A0084,DEL,BLR,Air India,2026-09-12,2026-09-05,06:29,T+7,Economy,6379,1185,79,7643,AVAILABLE,Sample Data,2026-09-05 06:29
A0085,MAA,DEL,Air India Express,2026-09-20,2026-09-05,22:07,T+15,Economy,3874,1120,205,5199,SOLD_OUT,Sample Data,2026-09-05 22:07
A0086,DEL,BLR,Air India Express,2026-09-06,2026-09-05,21:58,T+1,Economy,7240,526,287,8053,AVAILABLE,Sample Data,2026-09-05 21:58
A0087,DEL,CCU,Akasa Air,2026-09-12,2026-09-05,07:06,T+7,Economy,3122,1106,226,4454,AVAILABLE,Sample Data,2026-09-05 07:06
A0088,MAA,DEL,Air India Express,2026-10-20,2026-09-05,17:27,T+45,Economy,3491,1079,250,4820,AVAILABLE,Sample Data,2026-09-05 17:27
A0089,MAA,DEL,Air India Express,2026-09-06,2026-09-05,13:52,T+1,Economy,6644,1163,137,7944,AVAILABLE,Sample Data,2026-09-05 13:52
A0090,DEL,CCU,IndiGo,2026-10-05,2026-09-05,22:09,T+30,Economy,5467,1150,278,6895,AVAILABLE,Sample Data,2026-09-05 22:09
A0091,DEL,CCU,Air India,2026-10-20,2026-09-05,17:49,T+45,Economy,7828,776,207,8811,AVAILABLE,Sample Data,2026-09-05 17:49
A0092,DEL,CCU,Akasa Air,2026-10-05,2026-09-05,07:53,T+30,Economy,8488,1106,118,9712,AVAILABLE,Sample Data,2026-09-05 07:53
A0093,DEL,BOM,Air India Express,2026-10-05,2026-09-05,12:21,T+30,Economy,4497,975,195,5667,AVAILABLE,Sample Data,2026-09-05 12:21
A0094,DEL,BOM,Akasa Air,2026-09-20,2026-09-05,08:21,T+15,Economy,3989,999,104,5092,AVAILABLE,Sample Data,2026-09-05 08:21
A0095,BOM,BLR,SpiceJet,2026-09-20,2026-09-05,02:15,T+15,Economy,7053,510,182,7745,SOLD_OUT,Sample Data,2026-09-05 02:15
A0096,MAA,DEL,Akasa Air,2026-10-05,2026-09-05,22:31,T+30,Economy,7048,746,226,8020,AVAILABLE,Sample Data,2026-09-05 22:31
A0097,DEL,CCU,IndiGo,2026-09-06,2026-09-05,09:42,T+1,Economy,4910,726,153,5789,AVAILABLE,Sample Data,2026-09-05 09:42
A0098,BLR,HYD,Air India Express,2026-10-05,2026-09-05,23:35,T+30,Economy,7034,1043,138,8215,AVAILABLE,Sample Data,2026-09-05 23:35
A0099,BOM,BLR,Air India Express,2026-10-05,2026-09-05,23:12,T+30,Economy,4719,813,114,5646,AVAILABLE,Sample Data,2026-09-05 23:12
A0100,BOM,BLR,IndiGo,2026-10-20,2026-09-05,15:17,T+45,Economy,8743,689,99,9531,AVAILABLE,Sample Data,2026-09-05 15:17
A0101,MAA,DEL,SpiceJet,2026-10-20,2026-09-05,09:14,T+45,Economy,7388,789,75,8252,AVAILABLE,Sample Data,2026-09-05 09:14
A0102,BOM,BLR,Air India,2026-09-20,2026-09-05,01:35,T+15,Economy,2615,1046,82,3743,AVAILABLE,Sample Data,2026-09-05 01:35
A0103,BOM,BLR,Air India,2026-10-05,2026-09-05,15:28,T+30,Economy,3340,512,196,4048,AVAILABLE,Sample Data,2026-09-05 15:28
A0104,BOM,BLR,Air India,2026-09-06,2026-09-05,12:31,T+1,Economy,4568,989,79,5636,AVAILABLE,Sample Data,2026-09-05 12:31
A0105,DEL,BOM,SpiceJet,2026-09-06,2026-09-05,09:05,T+1,Economy,3742,652,257,4651,AVAILABLE,Sample Data,2026-09-05 09:05
A0106,DEL,BLR,IndiGo,2026-10-20,2026-09-05,19:14,T+45,Economy,8762,926,205,9893,AVAILABLE,Sample Data,2026-09-05 19:14
A0107,BLR,HYD,Akasa Air,2026-10-05,2026-09-05,13:19,T+30,Economy,6126,804,270,7200,AVAILABLE,Sample Data,2026-09-05 13:19
A0108,BLR,HYD,SpiceJet,2026-09-06,2026-09-05,20:13,T+1,Economy,7494,601,292,8387,AVAILABLE,Sample Data,2026-09-05 20:13
A0109,BOM,BLR,IndiGo,2026-09-12,2026-09-05,00:26,T+7,Economy,4464,677,191,5332,AVAILABLE,Sample Data,2026-09-05 00:26
A0110,DEL,CCU,SpiceJet,2026-10-05,2026-09-05,09:44,T+30,Economy,4885,533,109,5527,AVAILABLE,Sample Data,2026-09-05 09:44
A0111,DEL,CCU,IndiGo,2026-09-12,2026-09-05,06:27,T+7,Economy,4667,1140,200,6007,AVAILABLE,Sample Data,2026-09-05 06:27
A0112,DEL,BOM,SpiceJet,2026-09-12,2026-09-05,04:04,T+7,Economy,7805,652,282,8739,AVAILABLE,Sample Data,2026-09-05 04:04
A0113,DEL,BOM,Air India,2026-09-20,2026-09-05,03:29,T+15,Economy,7374,1082,285,8741,AVAILABLE,Sample Data,2026-09-05 03:29
A0114,MAA,DEL,Air India Express,2026-10-05,2026-09-05,02:38,T+30,Economy,4730,1012,188,5930,AVAILABLE,Sample Data,2026-09-05 02:38
A0115,DEL,BOM,Akasa Air,2026-09-20,2026-09-05,21:53,T+15,Economy,7445,756,56,8257,AVAILABLE,Sample Data,2026-09-05 21:53
A0116,BLR,HYD,SpiceJet,2026-09-06,2026-09-05,01:48,T+1,Economy,8764,1188,260,10212,AVAILABLE,Sample Data,2026-09-05 01:48
A0117,DEL,BLR,Akasa Air,2026-10-20,2026-09-05,18:27,T+45,Economy,7837,952,284,9073,AVAILABLE,Sample Data,2026-09-05 18:27
A0118,MAA,DEL,Akasa Air,2026-09-06,2026-09-05,21:06,T+1,Economy,6350,856,154,7360,AVAILABLE,Sample Data,2026-09-05 21:06
A0119,DEL,BLR,Air India Express,2026-10-05,2026-09-05,12:52,T+30,Economy,8182,1007,123,9312,AVAILABLE,Sample Data,2026-09-05 12:52
A0120,BLR,HYD,IndiGo,2026-10-05,2026-09-05,12:55,T+30,Economy,3221,822,114,4157,AVAILABLE,Sample Data,2026-09-05 12:55
A0121,BLR,HYD,IndiGo,2026-10-20,2026-09-05,11:39,T+45,Economy,6284,923,63,7270,AVAILABLE,Sample Data,2026-09-05 11:39
A0122,DEL,CCU,Akasa Air,2026-09-06,2026-09-05,09:28,T+1,Economy,4167,773,190,5130,AVAILABLE,Sample Data,2026-09-05 09:28
A0123,MAA,DEL,Akasa Air,2026-09-06,2026-09-05,22:10,T+1,Economy,2736,1145,205,4086,AVAILABLE,Sample Data,2026-09-05 22:10
A0124,BOM,BLR,SpiceJet,2026-09-06,2026-09-05,03:29,T+1,Economy,7024,917,73,8014,AVAILABLE,Sample Data,2026-09-05 03:29
A0125,DEL,BOM,Air India,2026-10-05,2026-09-05,13:53,T+30,Economy,8370,798,180,9348,AVAILABLE,Sample Data,2026-09-05 13:53
A0126,DEL,CCU,Akasa Air,2026-09-12,2026-09-05,19:32,T+7,Economy,6241,1064,87,7392,AVAILABLE,Sample Data,2026-09-05 19:32
A0127,MAA,DEL,Air India,2026-09-06,2026-09-05,16:17,T+1,Economy,4763,924,137,5824,SOLD_OUT,Sample Data,2026-09-05 16:17
A0128,DEL,BOM,Air India Express,2026-09-20,2026-09-05,04:28,T+15,Economy,7308,1093,218,8619,AVAILABLE,Sample Data,2026-09-05 04:28
A0129,BLR,HYD,Akasa Air,2026-09-20,2026-09-05,14:59,T+15,Economy,5223,1065,245,6533,AVAILABLE,Sample Data,2026-09-05 14:59
A0130,BOM,BLR,Air India,2026-09-12,2026-09-05,13:02,T+7,Economy,7184,892,109,8185,AVAILABLE,Sample Data,2026-09-05 13:02
A0131,BOM,BLR,Akasa Air,2026-10-05,2026-09-05,04:31,T+30,Economy,5662,1179,252,7093,AVAILABLE,Sample Data,2026-09-05 04:31
A0132,DEL,BOM,Air India,2026-10-20,2026-09-05,14:06,T+45,Economy,7334,839,272,8445,AVAILABLE,Sample Data,2026-09-05 14:06
A0133,BLR,HYD,Akasa Air,2026-09-06,2026-09-05,04:04,T+1,Economy,8418,647,154,9219,AVAILABLE,Sample Data,2026-09-05 04:04
A0134,DEL,CCU,Air India Express,2026-09-20,2026-09-05,10:54,T+15,Economy,7605,907,216,8728,AVAILABLE,Sample Data,2026-09-05 10:54
A0135,MAA,DEL,SpiceJet,2026-10-05,2026-09-05,15:55,T+30,Economy,5094,1141,233,6468,AVAILABLE,Sample Data,2026-09-05 15:55
A0136,BLR,HYD,IndiGo,2026-10-20,2026-09-05,09:14,T+45,Economy,3060,740,211,4011,AVAILABLE,Sample Data,2026-09-05 09:14
A0137,MAA,DEL,IndiGo,2026-10-05,2026-09-05,14:10,T+30,Economy,3306,1148,230,4684,AVAILABLE,Sample Data,2026-09-05 14:10
A0138,MAA,DEL,Air India Express,2026-09-06,2026-09-05,11:23,T+1,Economy,2876,832,253,3961,AVAILABLE,Sample Data,2026-09-05 11:23
A0139,DEL,CCU,Air India,2026-09-12,2026-09-05,05:10,T+7,Economy,6851,921,194,7966,AVAILABLE,Sample Data,2026-09-05 05:10
A0140,DEL,BLR,IndiGo,2026-10-20,2026-09-05,18:09,T+45,Economy,5633,1134,224,6991,AVAILABLE,Sample Data,2026-09-05 18:09
A0141,DEL,BLR,Akasa Air,2026-09-20,2026-09-05,14:57,T+15,Economy,6264,761,220,7245,AVAILABLE,Sample Data,2026-09-05 14:57
A0142,BOM,BLR,SpiceJet,2026-09-12,2026-09-05,18:19,T+7,Economy,3105,952,291,4348,AVAILABLE,Sample Data,2026-09-05 18:19
A0143,MAA,DEL,Akasa Air,2026-09-20,2026-09-05,15:06,T+15,Economy,6242,809,100,7151,MISSING,Sample Data,2026-09-05 15:06
A0144,DEL,BLR,Akasa Air,2026-10-20,2026-09-05,09:01,T+45,Economy,5440,1088,125,6653,MISSING,Sample Data,2026-09-05 09:01
A0145,MAA,DEL,Akasa Air,2026-09-20,2026-09-05,23:03,T+15,Economy,2566,1079,271,3916,AVAILABLE,Sample Data,2026-09-05 23:03
A0146,BLR,HYD,Akasa Air,2026-09-20,2026-09-05,07:40,T+15,Economy,8854,735,205,9794,AVAILABLE,Sample Data,2026-09-05 07:40
A0147,DEL,BLR,SpiceJet,2026-09-20,2026-09-05,20:06,T+15,Economy,8052,1175,224,9451,AVAILABLE,Sample Data,2026-09-05 20:06
A0148,MAA,DEL,IndiGo,2026-09-20,2026-09-05,23:08,T+15,Economy,8960,951,58,9969,AVAILABLE,Sample Data,2026-09-05 23:08
A0149,DEL,BOM,Air India Express,2026-09-20,2026-09-05,17:56,T+15,Economy,8623,925,94,9642,AVAILABLE,Sample Data,2026-09-05 17:56
A0150,BOM,BLR,SpiceJet,2026-10-20,2026-09-05,15:51,T+45,Economy,4732,668,115,5515,SOLD_OUT,Sample Data,2026-09-05 15:51
A0151,BOM,BLR,Air India Express,2026-09-06,2026-09-05,07:55,T+1,Economy,6336,577,86,6999,AVAILABLE,Sample Data,2026-09-05 07:55
A0152,MAA,DEL,Akasa Air,2026-10-20,2026-09-05,08:34,T+45,Economy,5496,592,252,6340,AVAILABLE,Sample Data,2026-09-05 08:34
A0153,DEL,BOM,Akasa Air,2026-09-20,2026-09-05,20:23,T+15,Economy,8011,1188,117,9316,AVAILABLE,Sample Data,2026-09-05 20:23
A0154,DEL,BOM,Air India,2026-10-05,2026-09-05,10:58,T+30,Economy,2705,1134,276,4115,SOLD_OUT,Sample Data,2026-09-05 10:58
A0155,BLR,HYD,Air India,2026-09-06,2026-09-05,20:26,T+1,Economy,7705,975,282,8962,AVAILABLE,Sample Data,2026-09-05 20:26
A0156,DEL,BOM,Air India,2026-09-06,2026-09-05,07:56,T+1,Economy,2804,811,176,3791,AVAILABLE,Sample Data,2026-09-05 07:56
A0157,BLR,HYD,Air India,2026-10-05,2026-09-05,22:34,T+30,Economy,6216,879,221,7316,SOLD_OUT,Sample Data,2026-09-05 22:34
A0158,DEL,CCU,SpiceJet,2026-09-12,2026-09-05,19:26,T+7,Economy,5898,1170,75,7143,AVAILABLE,Sample Data,2026-09-05 19:26
A0159,BOM,BLR,IndiGo,2026-09-20,2026-09-05,11:06,T+15,Economy,4279,954,163,5396,SOLD_OUT,Sample Data,2026-09-05 11:06
A0160,MAA,DEL,Air India Express,2026-10-20,2026-09-05,06:07,T+45,Economy,7782,867,65,8714,AVAILABLE,Sample Data,2026-09-05 06:07
A0161,DEL,CCU,IndiGo,2026-09-12,2026-09-05,01:50,T+7,Economy,7756,1154,202,9112,MISSING,Sample Data,2026-09-05 01:50
A0162,BOM,BLR,Air India,2026-09-12,2026-09-05,17:13,T+7,Economy,8946,1078,102,10126,AVAILABLE,Sample Data,2026-09-05 17:13
A0163,BLR,HYD,Air India,2026-09-12,2026-09-05,00:17,T+7,Economy,5191,651,251,6093,SOLD_OUT,Sample Data,2026-09-05 00:17
A0164,DEL,BLR,Air India,2026-10-20,2026-09-05,00:08,T+45,Economy,4553,678,78,5309,AVAILABLE,Sample Data,2026-09-05 00:08
A0165,DEL,BOM,Air India Express,2026-09-12,2026-09-05,01:08,T+7,Economy,7323,831,54,8208,AVAILABLE,Sample Data,2026-09-05 01:08
A0166,MAA,DEL,Akasa Air,2026-10-20,2026-09-05,11:32,T+45,Economy,3431,565,171,4167,AVAILABLE,Sample Data,2026-09-05 11:32
A0167,BLR,HYD,IndiGo,2026-10-05,2026-09-05,23:50,T+30,Economy,6627,726,292,7645,AVAILABLE,Sample Data,2026-09-05 23:50
A0168,MAA,DEL,SpiceJet,2026-09-20,2026-09-05,15:54,T+15,Economy,6252,1158,296,7706,AVAILABLE,Sample Data,2026-09-05 15:54
A0169,DEL,CCU,Akasa Air,2026-09-06,2026-09-05,10:38,T+1,Economy,6516,954,68,7538,AVAILABLE,Sample Data,2026-09-05 10:38
A0170,DEL,BLR,IndiGo,2026-09-12,2026-09-05,22:20,T+7,Economy,4752,1139,212,6103,AVAILABLE,Sample Data,2026-09-05 22:20
A0171,DEL,CCU,SpiceJet,2026-10-20,2026-09-05,03:50,T+45,Economy,4915,964,179,6058,AVAILABLE,Sample Data,2026-09-05 03:50
A0172,MAA,DEL,IndiGo,2026-10-20,2026-09-05,07:26,T+45,Economy,8405,720,160,9285,AVAILABLE,Sample Data,2026-09-05 07:26
A0173,BOM,BLR,Akasa Air,2026-10-05,2026-09-05,21:16,T+30,Economy,5907,597,130,6634,AVAILABLE,Sample Data,2026-09-05 21:16
A0174,BOM,BLR,Air India,2026-10-05,2026-09-05,13:06,T+30,Economy,3049,593,262,3904,AVAILABLE,Sample Data,2026-09-05 13:06
