SUMMARY
check,count
exact_duplicate_rows (all columns identical),0
true_duplicate_rows (same route+airline+travel_date+lead_time+fare_class+source+search_time),0
"intraday_repeat_groups (same route+airline+travel_date+lead_time+fare_class+source, different search_time — legitimate multiple daily fare checks)",482
unique_rows,18

ROW DETAIL
observation_id,route,airline,travel_date,lead_time,search_time,duplicate_flag
A0020,MAA-DEL,SpiceJet,2026-10-20,T+45,17:49,INTRADAY_REPEAT_CHECK
A0021,BLR-HYD,IndiGo,2026-10-20,T+45,11:56,INTRADAY_REPEAT_CHECK
A0022,BOM-BLR,Air India,2026-09-06,T+1,23:31,INTRADAY_REPEAT_CHECK
A0023,DEL-BOM,SpiceJet,2026-09-12,T+7,05:16,INTRADAY_REPEAT_CHECK
A0024,BLR-HYD,SpiceJet,2026-10-05,T+30,06:45,INTRADAY_REPEAT_CHECK
A0025,BOM-BLR,Akasa Air,2026-09-20,T+15,07:04,INTRADAY_REPEAT_CHECK
A0026,BOM-BLR,IndiGo,2026-10-20,T+45,02:45,INTRADAY_REPEAT_CHECK
A0027,MAA-DEL,IndiGo,2026-09-12,T+7,16:15,INTRADAY_REPEAT_CHECK
A0028,BOM-BLR,Akasa Air,2026-09-12,T+7,18:36,INTRADAY_REPEAT_CHECK
A0029,DEL-CCU,Air India,2026-10-05,T+30,13:22,INTRADAY_REPEAT_CHECK
A0030,DEL-CCU,Akasa Air,2026-10-05,T+30,20:06,INTRADAY_REPEAT_CHECK
A0031,DEL-BOM,Akasa Air,2026-09-20,T+15,14:08,INTRADAY_REPEAT_CHECK
A0032,DEL-CCU,Air India,2026-09-20,T+15,14:51,INTRADAY_REPEAT_CHECK
A0033,BLR-HYD,IndiGo,2026-09-06,T+1,02:59,INTRADAY_REPEAT_CHECK
A0034,DEL-BLR,Air India,2026-10-05,T+30,01:10,UNIQUE
A0035,DEL-CCU,IndiGo,2026-10-05,T+30,23:50,INTRADAY_REPEAT_CHECK
A0036,BLR-HYD,Akasa Air,2026-09-12,T+7,18:47,INTRADAY_REPEAT_CHECK
A0037,BLR-HYD,IndiGo,2026-09-20,T+15,16:10,INTRADAY_REPEAT_CHECK
A0038,DEL-BOM,SpiceJet,2026-09-06,T+1,07:25,INTRADAY_REPEAT_CHECK
A0039,DEL-BOM,SpiceJet,2026-09-12,T+7,13:42,INTRADAY_REPEAT_CHECK
A0040,BLR-HYD,SpiceJet,2026-10-20,T+45,10:15,INTRADAY_REPEAT_CHECK
A0041,BOM-BLR,Akasa Air,2026-09-12,T+7,02:00,INTRADAY_REPEAT_CHECK
A0042,DEL-CCU,SpiceJet,2026-10-20,T+45,08:08,INTRADAY_REPEAT_CHECK
A0043,BOM-BLR,IndiGo,2026-09-12,T+7,17:45,INTRADAY_REPEAT_CHECK
A0044,BOM-BLR,SpiceJet,2026-10-20,T+45,21:06,INTRADAY_REPEAT_CHECK
A0045,DEL-BLR,Air India Express,2026-09-06,T+1,19:13,INTRADAY_REPEAT_CHECK
A0046,MAA-DEL,Air India Express,2026-09-12,T+7,15:16,INTRADAY_REPEAT_CHECK
A0047,DEL-BOM,IndiGo,2026-10-05,T+30,04:40,INTRADAY_REPEAT_CHECK
A0048,BOM-BLR,Air India,2026-10-05,T+30,02:56,INTRADAY_REPEAT_CHECK
A0049,MAA-DEL,Air India,2026-10-20,T+45,13:08,INTRADAY_REPEAT_CHECK
A0050,DEL-BOM,Air India Express,2026-09-20,T+15,21:06,INTRADAY_REPEAT_CHECK
A0051,BOM-BLR,SpiceJet,2026-10-05,T+30,05:51,INTRADAY_REPEAT_CHECK
A0052,DEL-BLR,Akasa Air,2026-09-06,T+1,21:55,INTRADAY_REPEAT_CHECK
A0053,MAA-DEL,Air India,2026-09-20,T+15,15:14,INTRADAY_REPEAT_CHECK
A0054,DEL-BLR,Akasa Air,2026-09-20,T+15,06:25,INTRADAY_REPEAT_CHECK
A0055,BOM-BLR,Air India Express,2026-09-06,T+1,12:43,INTRADAY_REPEAT_CHECK
A0056,BLR-HYD,Air India Express,2026-09-06,T+1,08:02,INTRADAY_REPEAT_CHECK
A0057,DEL-BOM,SpiceJet,2026-10-05,T+30,16:07,INTRADAY_REPEAT_CHECK
A0058,DEL-CCU,SpiceJet,2026-09-12,T+7,16:59,INTRADAY_REPEAT_CHECK
A0059,BLR-HYD,Air India,2026-09-20,T+15,10:39,INTRADAY_REPEAT_CHECK
A0060,BOM-BLR,IndiGo,2026-09-20,T+15,12:44,INTRADAY_REPEAT_CHECK
A0061,BOM-BLR,SpiceJet,2026-09-12,T+7,21:47,INTRADAY_REPEAT_CHECK
A0062,DEL-BLR,SpiceJet,2026-10-20,T+45,09:18,INTRADAY_REPEAT_CHECK
A0063,DEL-BLR,Akasa Air,2026-10-20,T+45,14:43,INTRADAY_REPEAT_CHECK
A0064,DEL-BLR,SpiceJet,2026-10-05,T+30,16:42,INTRADAY_REPEAT_CHECK
A0065,MAA-DEL,SpiceJet,2026-09-20,T+15,06:09,INTRADAY_REPEAT_CHECK
A0066,DEL-BOM,IndiGo,2026-09-12,T+7,14:26,INTRADAY_REPEAT_CHECK
A0067,MAA-DEL,SpiceJet,2026-09-12,T+7,04:41,INTRADAY_REPEAT_CHECK
A0068,MAA-DEL,IndiGo,2026-09-06,T+1,22:33,INTRADAY_REPEAT_CHECK
A0069,DEL-CCU,IndiGo,2026-10-20,T+45,14:42,INTRADAY_REPEAT_CHECK
A0070,BLR-HYD,SpiceJet,2026-10-20,T+45,16:27,INTRADAY_REPEAT_CHECK
A0071,BLR-HYD,Akasa Air,2026-09-12,T+7,07:53,INTRADAY_REPEAT_CHECK
A0072,MAA-DEL,Air India Express,2026-10-20,T+45,02:45,INTRADAY_REPEAT_CHECK
A0073,BOM-BLR,Air India,2026-09-20,T+15,04:09,INTRADAY_REPEAT_CHECK
A0074,DEL-BLR,Akasa Air,2026-09-12,T+7,10:34,INTRADAY_REPEAT_CHECK
A0075,DEL-CCU,Akasa Air,2026-09-06,T+1,18:44,INTRADAY_REPEAT_CHECK
A0076,DEL-BOM,SpiceJet,2026-10-05,T+30,12:54,INTRADAY_REPEAT_CHECK
A0077,DEL-CCU,SpiceJet,2026-10-20,T+45,13:31,INTRADAY_REPEAT_CHECK
A0078,DEL-BOM,Akasa Air,2026-09-20,T+15,05:53,INTRADAY_REPEAT_CHECK
A0079,DEL-CCU,Air India,2026-10-20,T+45,18:42,INTRADAY_REPEAT_CHECK
A0080,DEL-BOM,IndiGo,2026-10-05,T+30,12:20,INTRADAY_REPEAT_CHECK
A0081,DEL-BLR,Akasa Air,2026-09-20,T+15,13:16,INTRADAY_REPEAT_CHECK
A0082,DEL-BOM,Akasa Air,2026-09-06,T+1,11:14,INTRADAY_REPEAT_CHECK
A0083,MAA-DEL,IndiGo,2026-09-06,T+1,00:39,INTRADAY_REPEAT_CHECK
A0084,DEL-BLR,Air India,2026-09-12,T+7,06:29,INTRADAY_REPEAT_CHECK
A0085,MAA-DEL,Air India Express,2026-09-20,T+15,22:07,INTRADAY_REPEAT_CHECK
A0086,DEL-BLR,Air India Express,2026-09-06,T+1,21:58,INTRADAY_REPEAT_CHECK
A0087,DEL-CCU,Akasa Air,2026-09-12,T+7,07:06,INTRADAY_REPEAT_CHECK
A0088,MAA-DEL,Air India Express,2026-10-20,T+45,17:27,INTRADAY_REPEAT_CHECK
A0089,MAA-DEL,Air India Express,2026-09-06,T+1,13:52,INTRADAY_REPEAT_CHECK
A0090,DEL-CCU,IndiGo,2026-10-05,T+30,22:09,INTRADAY_REPEAT_CHECK
A0091,DEL-CCU,Air India,2026-10-20,T+45,17:49,INTRADAY_REPEAT_CHECK
A0092,DEL-CCU,Akasa Air,2026-10-05,T+30,07:53,INTRADAY_REPEAT_CHECK
A0093,DEL-BOM,Air India Express,2026-10-05,T+30,12:21,INTRADAY_REPEAT_CHECK
A0094,DEL-BOM,Akasa Air,2026-09-20,T+15,08:21,INTRADAY_REPEAT_CHECK
A0095,BOM-BLR,SpiceJet,2026-09-20,T+15,02:15,INTRADAY_REPEAT_CHECK
A0096,MAA-DEL,Akasa Air,2026-10-05,T+30,22:31,INTRADAY_REPEAT_CHECK
A0097,DEL-CCU,IndiGo,2026-09-06,T+1,09:42,INTRADAY_REPEAT_CHECK
A0098,BLR-HYD,Air India Express,2026-10-05,T+30,23:35,INTRADAY_REPEAT_CHECK
A0099,BOM-BLR,Air India Express,2026-10-05,T+30,23:12,INTRADAY_REPEAT_CHECK
A0100,BOM-BLR,IndiGo,2026-10-20,T+45,15:17,INTRADAY_REPEAT_CHECK
A0101,MAA-DEL,SpiceJet,2026-10-20,T+45,09:14,INTRADAY_REPEAT_CHECK
A0102,BOM-BLR,Air India,2026-09-20,T+15,01:35,INTRADAY_REPEAT_CHECK
A0103,BOM-BLR,Air India,2026-10-05,T+30,15:28,INTRADAY_REPEAT_CHECK
A0104,BOM-BLR,Air India,2026-09-06,T+1,12:31,INTRADAY_REPEAT_CHECK
A0105,DEL-BOM,SpiceJet,2026-09-06,T+1,09:05,INTRADAY_REPEAT_CHECK
A0106,DEL-BLR,IndiGo,2026-10-20,T+45,19:14,INTRADAY_REPEAT_CHECK
A0107,BLR-HYD,Akasa Air,2026-10-05,T+30,13:19,INTRADAY_REPEAT_CHECK
A0108,BLR-HYD,SpiceJet,2026-09-06,T+1,20:13,INTRADAY_REPEAT_CHECK
A0109,BOM-BLR,IndiGo,2026-09-12,T+7,00:26,INTRADAY_REPEAT_CHECK
A0110,DEL-CCU,SpiceJet,2026-10-05,T+30,09:44,INTRADAY_REPEAT_CHECK
A0111,DEL-CCU,IndiGo,2026-09-12,T+7,06:27,INTRADAY_REPEAT_CHECK
A0112,DEL-BOM,SpiceJet,2026-09-12,T+7,04:04,INTRADAY_REPEAT_CHECK
A0113,DEL-BOM,Air India,2026-09-20,T+15,03:29,INTRADAY_REPEAT_CHECK
A0114,MAA-DEL,Air India Express,2026-10-05,T+30,02:38,INTRADAY_REPEAT_CHECK
A0115,DEL-BOM,Akasa Air,2026-09-20,T+15,21:53,INTRADAY_REPEAT_CHECK
A0116,BLR-HYD,SpiceJet,2026-09-06,T+1,01:48,INTRADAY_REPEAT_CHECK
A0117,DEL-BLR,Akasa Air,2026-10-20,T+45,18:27,INTRADAY_REPEAT_CHECK
A0118,MAA-DEL,Akasa Air,2026-09-06,T+1,21:06,INTRADAY_REPEAT_CHECK
A0119,DEL-BLR,Air India Express,2026-10-05,T+30,12:52,INTRADAY_REPEAT_CHECK
A0120,BLR-HYD,IndiGo,2026-10-05,T+30,12:55,INTRADAY_REPEAT_CHECK
A0121,BLR-HYD,IndiGo,2026-10-20,T+45,11:39,INTRADAY_REPEAT_CHECK
A0122,DEL-CCU,Akasa Air,2026-09-06,T+1,09:28,INTRADAY_REPEAT_CHECK
A0123,MAA-DEL,Akasa Air,2026-09-06,T+1,22:10,INTRADAY_REPEAT_CHECK
A0124,BOM-BLR,SpiceJet,2026-09-06,T+1,03:29,UNIQUE
A0125,DEL-BOM,Air India,2026-10-05,T+30,13:53,INTRADAY_REPEAT_CHECK
A0126,DEL-CCU,Akasa Air,2026-09-12,T+7,19:32,INTRADAY_REPEAT_CHECK
A0127,MAA-DEL,Air India,2026-09-06,T+1,16:17,INTRADAY_REPEAT_CHECK
A0128,DEL-BOM,Air India Express,2026-09-20,T+15,04:28,INTRADAY_REPEAT_CHECK
A0129,BLR-HYD,Akasa Air,2026-09-20,T+15,14:59,INTRADAY_REPEAT_CHECK
A0130,BOM-BLR,Air India,2026-09-12,T+7,13:02,INTRADAY_REPEAT_CHECK
A0131,BOM-BLR,Akasa Air,2026-10-05,T+30,04:31,INTRADAY_REPEAT_CHECK
A0132,DEL-BOM,Air India,2026-10-20,T+45,14:06,INTRADAY_REPEAT_CHECK
A0133,BLR-HYD,Akasa Air,2026-09-06,T+1,04:04,INTRADAY_REPEAT_CHECK
A0134,DEL-CCU,Air India Express,2026-09-20,T+15,10:54,UNIQUE
A0135,MAA-DEL,SpiceJet,2026-10-05,T+30,15:55,INTRADAY_REPEAT_CHECK
A0136,BLR-HYD,IndiGo,2026-10-20,T+45,09:14,INTRADAY_REPEAT_CHECK
A0137,MAA-DEL,IndiGo,2026-10-05,T+30,14:10,INTRADAY_REPEAT_CHECK
A0138,MAA-DEL,Air India Express,2026-09-06,T+1,11:23,INTRADAY_REPEAT_CHECK
A0139,DEL-CCU,Air India,2026-09-12,T+7,05:10,INTRADAY_REPEAT_CHECK
A0140,DEL-BLR,IndiGo,2026-10-20,T+45,18:09,INTRADAY_REPEAT_CHECK
A0141,DEL-BLR,Akasa Air,2026-09-20,T+15,14:57,INTRADAY_REPEAT_CHECK
A0142,BOM-BLR,SpiceJet,2026-09-12,T+7,18:19,INTRADAY_REPEAT_CHECK
A0143,MAA-DEL,Akasa Air,2026-09-20,T+15,15:06,INTRADAY_REPEAT_CHECK
A0144,DEL-BLR,Akasa Air,2026-10-20,T+45,09:01,INTRADAY_REPEAT_CHECK
A0145,MAA-DEL,Akasa Air,2026-09-20,T+15,23:03,INTRADAY_REPEAT_CHECK
A0146,BLR-HYD,Akasa Air,2026-09-20,T+15,07:40,INTRADAY_REPEAT_CHECK
A0147,DEL-BLR,SpiceJet,2026-09-20,T+15,20:06,UNIQUE
A0148,MAA-DEL,IndiGo,2026-09-20,T+15,23:08,INTRADAY_REPEAT_CHECK
A0149,DEL-BOM,Air India Express,2026-09-20,T+15,17:56,INTRADAY_REPEAT_CHECK
A0150,BOM-BLR,SpiceJet,2026-10-20,T+45,15:51,INTRADAY_REPEAT_CHECK
A0151,BOM-BLR,Air India Express,2026-09-06,T+1,07:55,INTRADAY_REPEAT_CHECK
A0152,MAA-DEL,Akasa Air,2026-10-20,T+45,08:34,INTRADAY_REPEAT_CHECK
A0153,DEL-BOM,Akasa Air,2026-09-20,T+15,20:23,INTRADAY_REPEAT_CHECK
A0154,DEL-BOM,Air India,2026-10-05,T+30,10:58,INTRADAY_REPEAT_CHECK
A0155,BLR-HYD,Air India,2026-09-06,T+1,20:26,INTRADAY_REPEAT_CHECK
A0156,DEL-BOM,Air India,2026-09-06,T+1,07:56,INTRADAY_REPEAT_CHECK
A0157,BLR-HYD,Air India,2026-10-05,T+30,22:34,INTRADAY_REPEAT_CHECK
A0158,DEL-CCU,SpiceJet,2026-09-12,T+7,19:26,INTRADAY_REPEAT_CHECK
A0159,BOM-BLR,IndiGo,2026-09-20,T+15,11:06,INTRADAY_REPEAT_CHECK
A0160,MAA-DEL,Air India Express,2026-10-20,T+45,06:07,INTRADAY_REPEAT_CHECK
A0161,DEL-CCU,IndiGo,2026-09-12,T+7,01:50,INTRADAY_REPEAT_CHECK
A0162,BOM-BLR,Air India,2026-09-12,T+7,17:13,INTRADAY_REPEAT_CHECK
A0163,BLR-HYD,Air India,2026-09-12,T+7,00:17,INTRADAY_REPEAT_CHECK
A0164,DEL-BLR,Air India,2026-10-20,T+45,00:08,INTRADAY_REPEAT_CHECK
A0165,DEL-BOM,Air India Express,2026-09-12,T+7,01:08,INTRADAY_REPEAT_CHECK
A0166,MAA-DEL,Akasa Air,2026-10-20,T+45,11:32,INTRADAY_REPEAT_CHECK
A0167,BLR-HYD,IndiGo,2026-10-05,T+30,23:50,INTRADAY_REPEAT_CHECK
A0168,MAA-DEL,SpiceJet,2026-09-20,T+15,15:54,INTRADAY_REPEAT_CHECK
A0169,DEL-CCU,Akasa Air,2026-09-06,T+1,10:38,INTRADAY_REPEAT_CHECK
A0170,DEL-BLR,IndiGo,2026-09-12,T+7,22:20,UNIQUE
A0171,DEL-CCU,SpiceJet,2026-10-20,T+45,03:50,INTRADAY_REPEAT_CHECK
A0172,MAA-DEL,IndiGo,2026-10-20,T+45,07:26,INTRADAY_REPEAT_CHECK
A0173,BOM-BLR,Akasa Air,2026-10-05,T+30,21:16,INTRADAY_REPEAT_CHECK
A0174,BOM-BLR,Air India,2026-10-05,T+30,13:06,INTRADAY_REPEAT_CHECK
A0175,MAA-DEL,Air India Express,2026-09-12,T+7,17:21,INTRADAY_REPEAT_CHECK
A0176,MAA-DEL,IndiGo,2026-10-05,T+30,23:03,INTRADAY_REPEAT_CHECK
A0177,BOM-BLR,SpiceJet,2026-09-20,T+15,04:42,INTRADAY_REPEAT_CHECK
A0178,DEL-CCU,Air India,2026-09-06,T+1,08:36,UNIQUE
A0179,DEL-BLR,Akasa Air,2026-10-20,T+45,17:01,INTRADAY_REPEAT_CHECK
A0180,BLR-HYD,Air India Express,2026-09-06,T+1,10:22,INTRADAY_REPEAT_CHECK
A0181,DEL-BOM,Air India,2026-09-12,T+7,23:40,INTRADAY_REPEAT_CHECK
A0182,DEL-BOM,IndiGo,2026-10-20,T+45,05:23,UNIQUE
A0183,BOM-BLR,Air India Express,2026-10-20,T+45,05:48,INTRADAY_REPEAT_CHECK
A0184,BLR-HYD,IndiGo,2026-09-06,T+1,19:28,INTRADAY_REPEAT_CHECK
A0185,DEL-CCU,Air India Express,2026-09-12,T+7,03:18,INTRADAY_REPEAT_CHECK
A0186,MAA-DEL,SpiceJet,2026-10-05,T+30,12:38,INTRADAY_REPEAT_CHECK
A0187,DEL-BOM,IndiGo,2026-09-12,T+7,08:18,INTRADAY_REPEAT_CHECK
A0188,BOM-BLR,IndiGo,2026-09-06,T+1,17:45,INTRADAY_REPEAT_CHECK
A0189,DEL-BLR,SpiceJet,2026-10-20,T+45,23:02,INTRADAY_REPEAT_CHECK
A0190,DEL-CCU,IndiGo,2026-10-05,T+30,12:45,INTRADAY_REPEAT_CHECK
A0191,MAA-DEL,Akasa Air,2026-09-20,T+15,05:51,INTRADAY_REPEAT_CHECK
A0192,BLR-HYD,Akasa Air,2026-09-20,T+15,13:37,INTRADAY_REPEAT_CHECK
A0193,DEL-CCU,SpiceJet,2026-09-06,T+1,10:49,INTRADAY_REPEAT_CHECK
A0194,DEL-BLR,IndiGo,2026-10-20,T+45,11:22,INTRADAY_REPEAT_CHECK
A0195,MAA-DEL,Air India,2026-09-12,T+7,19:09,UNIQUE
A0196,MAA-DEL,IndiGo,2026-09-12,T+7,18:48,INTRADAY_REPEAT_CHECK
A0197,BLR-HYD,Akasa Air,2026-10-20,T+45,20:20,INTRADAY_REPEAT_CHECK
A0198,DEL-BLR,Akasa Air,2026-09-06,T+1,08:37,INTRADAY_REPEAT_CHECK
A0199,DEL-BOM,Air India Express,2026-10-20,T+45,01:23,UNIQUE
A0200,BOM-BLR,IndiGo,2026-09-06,T+1,18:35,INTRADAY_REPEAT_CHECK
A0201,MAA-DEL,IndiGo,2026-10-05,T+30,15:32,INTRADAY_REPEAT_CHECK
A0202,DEL-BLR,IndiGo,2026-10-05,T+30,20:11,INTRADAY_REPEAT_CHECK
A0203,DEL-BOM,Air India,2026-10-05,T+30,11:23,INTRADAY_REPEAT_CHECK
A0204,BOM-BLR,Akasa Air,2026-10-05,T+30,20:41,INTRADAY_REPEAT_CHECK
A0205,BOM-BLR,IndiGo,2026-09-20,T+15,08:46,INTRADAY_REPEAT_CHECK
A0206,MAA-DEL,SpiceJet,2026-09-12,T+7,11:19,INTRADAY_REPEAT_CHECK
A0207,MAA-DEL,Akasa Air,2026-09-12,T+7,20:50,INTRADAY_REPEAT_CHECK
A0208,BOM-BLR,Air India,2026-10-20,T+45,11:01,INTRADAY_REPEAT_CHECK
A0209,BOM-BLR,Air India Express,2026-09-12,T+7,06:14,INTRADAY_REPEAT_CHECK
A0210,DEL-BLR,Air India,2026-09-06,T+1,23:56,INTRADAY_REPEAT_CHECK
A0211,BLR-HYD,IndiGo,2026-09-20,T+15,04:10,INTRADAY_REPEAT_CHECK
A0212,DEL-BLR,SpiceJet,2026-09-12,T+7,21:46,INTRADAY_REPEAT_CHECK
A0213,DEL-BLR,Akasa Air,2026-10-20,T+45,09:51,INTRADAY_REPEAT_CHECK
A0214,DEL-CCU,Air India,2026-09-20,T+15,09:49,INTRADAY_REPEAT_CHECK
A0215,DEL-CCU,SpiceJet,2026-10-20,T+45,19:08,INTRADAY_REPEAT_CHECK
A0216,BOM-BLR,IndiGo,2026-10-05,T+30,16:54,INTRADAY_REPEAT_CHECK
A0217,DEL-BOM,Air India Express,2026-09-06,T+1,16:09,INTRADAY_REPEAT_CHECK
A0218,DEL-CCU,IndiGo,2026-09-12,T+7,01:25,INTRADAY_REPEAT_CHECK
A0219,BLR-HYD,Air India Express,2026-09-12,T+7,10:59,INTRADAY_REPEAT_CHECK
A0220,DEL-BOM,Air India Express,2026-09-12,T+7,15:44,INTRADAY_REPEAT_CHECK
A0221,DEL-BLR,Akasa Air,2026-10-05,T+30,08:13,INTRADAY_REPEAT_CHECK
A0222,DEL-BLR,SpiceJet,2026-10-20,T+45,07:19,INTRADAY_REPEAT_CHECK
A0223,DEL-BOM,IndiGo,2026-09-12,T+7,02:07,INTRADAY_REPEAT_CHECK
A0224,DEL-CCU,SpiceJet,2026-10-20,T+45,22:09,INTRADAY_REPEAT_CHECK
A0225,BOM-BLR,Akasa Air,2026-09-06,T+1,05:42,INTRADAY_REPEAT_CHECK
A0226,MAA-DEL,IndiGo,2026-10-20,T+45,16:50,INTRADAY_REPEAT_CHECK
A0227,BLR-HYD,SpiceJet,2026-09-06,T+1,11:16,INTRADAY_REPEAT_CHECK
A0228,MAA-DEL,IndiGo,2026-09-20,T+15,21:40,INTRADAY_REPEAT_CHECK
A0229,DEL-BOM,SpiceJet,2026-09-20,T+15,20:11,INTRADAY_REPEAT_CHECK
A0230,MAA-DEL,Akasa Air,2026-10-05,T+30,22:49,INTRADAY_REPEAT_CHECK
A0231,DEL-CCU,IndiGo,2026-09-20,T+15,01:20,INTRADAY_REPEAT_CHECK
A0232,BOM-BLR,SpiceJet,2026-10-05,T+30,20:12,INTRADAY_REPEAT_CHECK
A0233,BOM-BLR,Air India Express,2026-09-06,T+1,11:27,INTRADAY_REPEAT_CHECK
A0234,DEL-CCU,Akasa Air,2026-10-05,T+30,11:59,INTRADAY_REPEAT_CHECK
A0235,BLR-HYD,Air India Express,2026-09-06,T+1,05:34,INTRADAY_REPEAT_CHECK
A0236,BOM-BLR,Air India Express,2026-09-06,T+1,14:38,INTRADAY_REPEAT_CHECK
A0237,MAA-DEL,Akasa Air,2026-09-12,T+7,23:55,INTRADAY_REPEAT_CHECK
A0238,BOM-BLR,SpiceJet,2026-10-05,T+30,01:04,INTRADAY_REPEAT_CHECK
A0239,MAA-DEL,Akasa Air,2026-09-20,T+15,04:54,INTRADAY_REPEAT_CHECK
A0240,BLR-HYD,Akasa Air,2026-09-06,T+1,11:23,INTRADAY_REPEAT_CHECK
A0241,DEL-CCU,SpiceJet,2026-09-06,T+1,11:23,INTRADAY_REPEAT_CHECK
A0242,DEL-CCU,IndiGo,2026-10-20,T+45,20:17,INTRADAY_REPEAT_CHECK
A0243,DEL-BLR,IndiGo,2026-09-06,T+1,17:07,INTRADAY_REPEAT_CHECK
A0244,BOM-BLR,Air India Express,2026-10-05,T+30,15:12,INTRADAY_REPEAT_CHECK
A0245,DEL-BOM,Air India,2026-09-06,T+1,02:51,INTRADAY_REPEAT_CHECK
A0246,MAA-DEL,Air India Express,2026-09-20,T+15,09:54,INTRADAY_REPEAT_CHECK
A0247,DEL-BLR,Air India,2026-09-20,T+15,04:15,INTRADAY_REPEAT_CHECK
A0248,DEL-CCU,IndiGo,2026-09-20,T+15,17:08,INTRADAY_REPEAT_CHECK
A0249,BLR-HYD,IndiGo,2026-09-06,T+1,16:26,INTRADAY_REPEAT_CHECK
A0250,DEL-CCU,SpiceJet,2026-09-06,T+1,14:43,INTRADAY_REPEAT_CHECK
A0251,BLR-HYD,Air India Express,2026-09-12,T+7,04:27,INTRADAY_REPEAT_CHECK
A0252,BLR-HYD,IndiGo,2026-09-06,T+1,10:59,INTRADAY_REPEAT_CHECK
A0253,MAA-DEL,Air India,2026-09-20,T+15,06:40,INTRADAY_REPEAT_CHECK
A0254,BLR-HYD,Air India Express,2026-09-12,T+7,16:41,INTRADAY_REPEAT_CHECK
A0255,DEL-BLR,SpiceJet,2026-10-20,T+45,19:21,INTRADAY_REPEAT_CHECK
A0256,BLR-HYD,IndiGo,2026-09-06,T+1,18:16,INTRADAY_REPEAT_CHECK
A0257,MAA-DEL,Air India,2026-10-20,T+45,20:34,INTRADAY_REPEAT_CHECK
A0258,BOM-BLR,Air India Express,2026-10-05,T+30,22:03,INTRADAY_REPEAT_CHECK
A0259,DEL-BLR,Akasa Air,2026-10-05,T+30,04:20,INTRADAY_REPEAT_CHECK
A0260,MAA-DEL,Air India Express,2026-09-20,T+15,17:06,INTRADAY_REPEAT_CHECK
A0261,BOM-BLR,Air India,2026-10-05,T+30,03:03,INTRADAY_REPEAT_CHECK
A0262,BOM-BLR,Akasa Air,2026-10-20,T+45,05:52,INTRADAY_REPEAT_CHECK
A0263,BOM-BLR,SpiceJet,2026-09-20,T+15,14:31,INTRADAY_REPEAT_CHECK
A0264,BOM-BLR,Akasa Air,2026-09-06,T+1,07:13,INTRADAY_REPEAT_CHECK
A0265,BLR-HYD,Air India Express,2026-09-06,T+1,20:43,INTRADAY_REPEAT_CHECK
A0266,DEL-CCU,Air India Express,2026-10-20,T+45,08:46,UNIQUE
A0267,BOM-BLR,Akasa Air,2026-09-20,T+15,06:23,INTRADAY_REPEAT_CHECK
A0268,BLR-HYD,Air India Express,2026-09-06,T+1,08:52,INTRADAY_REPEAT_CHECK
A0269,BLR-HYD,SpiceJet,2026-09-06,T+1,10:35,INTRADAY_REPEAT_CHECK
