observation_id,origin,destination,airline,travel_date,search_date,search_time,lead_time,lead_time_days,fare_class,base_fare,taxes,fees,total_fare,availability,source,timestamp,currency,is_mock,data_mode,environment,collection_run_id,route,source_lead_time,lead_time_mismatch,fare_consistency_flag,validation_status,validation_reason,usable_for_index,duplicate_flag
FIXTURE_0023,DEL,CCU,SpiceJet,2026-09-23,2026-09-08,15:34:00,T+15,15,Economy,3551.0,1175.0,171.0,4897.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 15:34:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,DEL-CCU,T+15,False,VALID,VALID,,True,UNIQUE
FIXTURE_0024,DEL,CCU,SpiceJet,2026-10-08,2026-09-08,16:41:00,T+30,30,Economy,4235.0,1052.0,243.0,5530.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 16:41:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,DEL-CCU,T+30,False,VALID,VALID,,True,UNIQUE
FIXTURE_0025,DEL,CCU,Akasa Air,2026-10-23,2026-09-08,09:48:00,T+45,45,Economy,6088.0,1029.0,165.0,7282.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 09:48:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,DEL-CCU,T+45,False,VALID,VALID,,True,UNIQUE
FIXTURE_0026,MAA,DEL,IndiGo,2026-09-09,2026-09-08,10:55:00,T+1,1,Economy,7037.0,735.0,200.0,7972.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 10:55:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,MAA-DEL,T+1,False,VALID,VALID,,True,UNIQUE
FIXTURE_0027,MAA,DEL,IndiGo,2026-09-15,2026-09-08,11:02:00,T+7,7,Economy,3052.0,532.0,270.0,3854.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 11:02:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,MAA-DEL,T+7,False,VALID,VALID,,True,UNIQUE
FIXTURE_0028,MAA,DEL,Akasa Air,2026-09-23,2026-09-08,12:09:00,T+15,15,Economy,6917.0,635.0,235.0,7787.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 12:09:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,MAA-DEL,T+15,False,VALID,VALID,,True,UNIQUE
FIXTURE_0029,MAA,DEL,Air India,2026-10-08,2026-09-08,13:16:00,T+30,30,Economy,5834.0,694.0,74.0,6602.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 13:16:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,MAA-DEL,T+30,False,VALID,VALID,,True,UNIQUE
FIXTURE_0030,MAA,DEL,Akasa Air,2026-10-23,2026-09-08,14:23:00,T+45,45,Economy,8472.0,555.0,222.0,9249.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 14:23:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,MAA-DEL,T+45,False,VALID,VALID,,True,UNIQUE
FIXTURE_EDGE_SOLD_OUT,BLR,HYD,IndiGo,2026-09-09,2026-09-08,09:00:00,T+1,1,Economy,8574.0,781.0,112.0,,SOLD_OUT,MOCK_FIXTURE,2026-09-08 09:00:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,BLR-HYD,T+1,False,MISSING_COMPONENT,VALID,,False,TRUE_DUPLICATE_SAME_TIMESTAMP
FIXTURE_EDGE_MISSING,BLR,HYD,SpiceJet,2026-09-15,2026-09-08,10:07:00,T+7,7,Economy,7337.0,932.0,58.0,,MISSING,MOCK_FIXTURE,2026-09-08 10:07:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,BLR-HYD,T+7,False,MISSING_COMPONENT,VALID,,False,TRUE_DUPLICATE_SAME_TIMESTAMP
FIXTURE_EDGE_INCONSISTENT,BLR,HYD,SpiceJet,2026-09-23,2026-09-08,11:14:00,T+15,15,Economy,7097.0,703.0,233.0,99999.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 11:14:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,BLR-HYD,T+15,False,INVALID,INVALID,fare_inconsistent,False,TRUE_DUPLICATE_SAME_TIMESTAMP
FIXTURE_EDGE_INVALID_DATE,BLR,HYD,Akasa Air,2026-09-07,2026-09-08,12:21:00,T+30,-1,Economy,4778.0,506.0,244.0,5528.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 12:21:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,BLR-HYD,T+30,False,VALID,INVALID,travel_before_search;booking_window_mismatch,False,UNIQUE
FIXTURE_EDGE_INTRADAY,BLR,HYD,Air India Express,2026-10-23,2026-09-08,15:45:00,T+45,45,Economy,4263.0,844.0,76.0,5183.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 13:28:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,BLR-HYD,T+45,False,VALID,VALID,,True,INTRADAY_REPEAT_CHECK
FIXTURE_EDGE_DUPLICATE,BLR,HYD,Air India Express,2026-10-23,2026-09-08,13:28:00,T+45,45,Economy,4263.0,844.0,76.0,5183.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 13:28:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,BLR-HYD,T+45,False,VALID,VALID,,True,TRUE_DUPLICATE_SAME_TIMESTAMP
FIXTURE_EDGE_NEGATIVE,BOM,BLR,SpiceJet,2026-09-09,2026-09-08,14:35:00,T+1,1,Economy,-1.0,970.0,187.0,4012.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 14:35:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,BOM-BLR,T+1,False,INVALID,INVALID,invalid_base_fare;fare_inconsistent,False,TRUE_DUPLICATE_SAME_TIMESTAMP
FIXTURE_EDGE_UNKNOWN,BOM,BLR,Air India Express,2026-09-15,2026-09-08,15:42:00,T+7,7,Economy,5462.0,1091.0,99.0,,UNKNOWN,MOCK_FIXTURE,2026-09-08 15:42:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,BOM-BLR,T+7,False,MISSING_COMPONENT,VALID,,False,TRUE_DUPLICATE_SAME_TIMESTAMP
