route,date,airline,lead_time,total_fare,route_median,fare_deviation,availability,outlier_flag
DEL-BOM,2026-09-12,SpiceJet,T+7,4897,7207.0,-32.05,SOLD_OUT,NORMAL
BLR-HYD,2026-10-05,SpiceJet,T+30,5530,6792.5,-18.59,AVAILABLE,NORMAL
BOM-BLR,2026-09-20,Akasa Air,T+15,7282,6133.5,18.73,AVAILABLE,NORMAL
BOM-BLR,2026-10-20,IndiGo,T+45,7972,6133.5,29.97,AVAILABLE,NORMAL
MAA-DEL,2026-09-12,IndiGo,T+7,3854,7393.0,-47.87,AVAILABLE,NORMAL
BOM-BLR,2026-09-12,Akasa Air,T+7,7787,6133.5,26.96,SOLD_OUT,NORMAL
DEL-CCU,2026-10-05,Air India,T+30,6602,6581.5,0.31,AVAILABLE,NORMAL
DEL-CCU,2026-10-05,Akasa Air,T+30,9249,6581.5,40.53,AVAILABLE,NORMAL
DEL-BOM,2026-09-20,Akasa Air,T+15,4248,7207.0,-41.06,AVAILABLE,NORMAL
DEL-CCU,2026-09-20,Air India,T+15,7317,6581.5,11.18,SOLD_OUT,NORMAL
BLR-HYD,2026-09-06,IndiGo,T+1,9159,6792.5,34.84,AVAILABLE,NORMAL
DEL-BLR,2026-10-05,Air India,T+30,7574,6927.0,9.34,AVAILABLE,NORMAL
DEL-CCU,2026-10-05,IndiGo,T+30,5760,6581.5,-12.48,AVAILABLE,NORMAL
BLR-HYD,2026-09-12,Akasa Air,T+7,4963,6792.5,-26.93,SOLD_OUT,NORMAL
BLR-HYD,2026-09-20,IndiGo,T+15,3718,6792.5,-45.26,AVAILABLE,NORMAL
DEL-BOM,2026-09-06,SpiceJet,T+1,4794,7207.0,-33.48,AVAILABLE,NORMAL
DEL-BOM,2026-09-12,SpiceJet,T+7,8410,7207.0,16.69,AVAILABLE,NORMAL
BLR-HYD,2026-10-20,SpiceJet,T+45,5960,6792.5,-12.26,AVAILABLE,NORMAL
BOM-BLR,2026-09-12,Akasa Air,T+7,9288,6133.5,51.43,AVAILABLE,NORMAL
DEL-CCU,2026-10-20,SpiceJet,T+45,4081,6581.5,-37.99,AVAILABLE,NORMAL
BOM-BLR,2026-09-12,IndiGo,T+7,6408,6133.5,4.48,AVAILABLE,NORMAL
BOM-BLR,2026-10-20,SpiceJet,T+45,4006,6133.5,-34.69,AVAILABLE,NORMAL
DEL-BLR,2026-09-06,Air India Express,T+1,4531,6927.0,-34.59,AVAILABLE,NORMAL
MAA-DEL,2026-09-12,Air India Express,T+7,9548,7393.0,29.15,AVAILABLE,NORMAL
DEL-BOM,2026-10-05,IndiGo,T+30,5361,7207.0,-25.61,AVAILABLE,NORMAL
BOM-BLR,2026-10-05,Air India,T+30,8149,6133.5,32.86,AVAILABLE,NORMAL
MAA-DEL,2026-10-20,Air India,T+45,3872,7393.0,-47.63,AVAILABLE,NORMAL
DEL-BOM,2026-09-20,Air India Express,T+15,3795,7207.0,-47.34,AVAILABLE,NORMAL
BOM-BLR,2026-10-05,SpiceJet,T+30,8528,6133.5,39.04,SOLD_OUT,NORMAL
DEL-BLR,2026-09-06,Akasa Air,T+1,5059,6927.0,-26.97,SOLD_OUT,NORMAL
MAA-DEL,2026-09-20,Air India,T+15,4561,7393.0,-38.31,AVAILABLE,NORMAL
DEL-BLR,2026-09-20,Akasa Air,T+15,5840,6927.0,-15.69,AVAILABLE,NORMAL
BOM-BLR,2026-09-06,Air India Express,T+1,9759,6133.5,59.11,AVAILABLE,NORMAL
BLR-HYD,2026-09-06,Air India Express,T+1,4306,6792.5,-36.61,AVAILABLE,NORMAL
DEL-BOM,2026-10-05,SpiceJet,T+30,6313,7207.0,-12.4,AVAILABLE,NORMAL
DEL-CCU,2026-09-12,SpiceJet,T+7,5362,6581.5,-18.53,AVAILABLE,NORMAL
BLR-HYD,2026-09-20,Air India,T+15,6896,6792.5,1.52,AVAILABLE,NORMAL
BOM-BLR,2026-09-20,IndiGo,T+15,7690,6133.5,25.38,AVAILABLE,NORMAL
BOM-BLR,2026-09-12,SpiceJet,T+7,5221,6133.5,-14.88,SOLD_OUT,NORMAL
DEL-BLR,2026-10-20,SpiceJet,T+45,6070,6927.0,-12.37,AVAILABLE,NORMAL
DEL-BLR,2026-10-20,Akasa Air,T+45,8771,6927.0,26.62,AVAILABLE,NORMAL
DEL-BLR,2026-10-05,SpiceJet,T+30,9419,6927.0,35.98,AVAILABLE,NORMAL
MAA-DEL,2026-09-20,SpiceJet,T+15,4227,7393.0,-42.82,AVAILABLE,NORMAL
DEL-BOM,2026-09-12,IndiGo,T+7,7784,7207.0,8.01,AVAILABLE,NORMAL
MAA-DEL,2026-09-12,SpiceJet,T+7,9453,7393.0,27.86,AVAILABLE,NORMAL
MAA-DEL,2026-09-06,IndiGo,T+1,9917,7393.0,34.14,AVAILABLE,NORMAL
DEL-CCU,2026-10-20,IndiGo,T+45,5331,6581.5,-19.0,AVAILABLE,NORMAL
BLR-HYD,2026-10-20,SpiceJet,T+45,6258,6792.5,-7.87,AVAILABLE,NORMAL
BLR-HYD,2026-09-12,Akasa Air,T+7,9743,6792.5,43.44,AVAILABLE,NORMAL
MAA-DEL,2026-10-20,Air India Express,T+45,7721,7393.0,4.44,AVAILABLE,NORMAL
BOM-BLR,2026-09-20,Air India,T+15,6356,6133.5,3.63,AVAILABLE,NORMAL
DEL-BLR,2026-09-12,Akasa Air,T+7,9071,6927.0,30.95,AVAILABLE,NORMAL
DEL-CCU,2026-09-06,Akasa Air,T+1,5273,6581.5,-19.88,SOLD_OUT,NORMAL
DEL-BOM,2026-10-05,SpiceJet,T+30,7204,7207.0,-0.04,AVAILABLE,NORMAL
DEL-CCU,2026-10-20,SpiceJet,T+45,8340,6581.5,26.72,AVAILABLE,NORMAL
DEL-BOM,2026-09-20,Akasa Air,T+15,9428,7207.0,30.82,AVAILABLE,NORMAL
DEL-CCU,2026-10-20,Air India,T+45,7684,6581.5,16.75,AVAILABLE,NORMAL
DEL-BOM,2026-10-05,IndiGo,T+30,4679,7207.0,-35.08,AVAILABLE,NORMAL
DEL-BLR,2026-09-20,Akasa Air,T+15,6273,6927.0,-9.44,AVAILABLE,NORMAL
DEL-BOM,2026-09-06,Akasa Air,T+1,9751,7207.0,35.3,MISSING,NORMAL
MAA-DEL,2026-09-06,IndiGo,T+1,9502,7393.0,28.53,AVAILABLE,NORMAL
DEL-BLR,2026-09-12,Air India,T+7,7643,6927.0,10.34,AVAILABLE,NORMAL
MAA-DEL,2026-09-20,Air India Express,T+15,5199,7393.0,-29.68,SOLD_OUT,NORMAL
DEL-BLR,2026-09-06,Air India Express,T+1,8053,6927.0,16.26,AVAILABLE,NORMAL
DEL-CCU,2026-09-12,Akasa Air,T+7,4454,6581.5,-32.33,AVAILABLE,NORMAL
MAA-DEL,2026-10-20,Air India Express,T+45,4820,7393.0,-34.8,AVAILABLE,NORMAL
MAA-DEL,2026-09-06,Air India Express,T+1,7944,7393.0,7.45,AVAILABLE,NORMAL
DEL-CCU,2026-10-05,IndiGo,T+30,6895,6581.5,4.76,AVAILABLE,NORMAL
DEL-CCU,2026-10-20,Air India,T+45,8811,6581.5,33.88,AVAILABLE,NORMAL
DEL-CCU,2026-10-05,Akasa Air,T+30,9712,6581.5,47.57,AVAILABLE,NORMAL
DEL-BOM,2026-10-05,Air India Express,T+30,5667,7207.0,-21.37,AVAILABLE,NORMAL
DEL-BOM,2026-09-20,Akasa Air,T+15,5092,7207.0,-29.35,AVAILABLE,NORMAL
BOM-BLR,2026-09-20,SpiceJet,T+15,7745,6133.5,26.27,SOLD_OUT,NORMAL
MAA-DEL,2026-10-05,Akasa Air,T+30,8020,7393.0,8.48,AVAILABLE,NORMAL
DEL-CCU,2026-09-06,IndiGo,T+1,5789,6581.5,-12.04,AVAILABLE,NORMAL
BLR-HYD,2026-10-05,Air India Express,T+30,8215,6792.5,20.94,AVAILABLE,NORMAL
BOM-BLR,2026-10-05,Air India Express,T+30,5646,6133.5,-7.95,AVAILABLE,NORMAL
BOM-BLR,2026-10-20,IndiGo,T+45,9531,6133.5,55.39,AVAILABLE,NORMAL
MAA-DEL,2026-10-20,SpiceJet,T+45,8252,7393.0,11.62,AVAILABLE,NORMAL
BOM-BLR,2026-09-20,Air India,T+15,3743,6133.5,-38.97,AVAILABLE,NORMAL
BOM-BLR,2026-10-05,Air India,T+30,4048,6133.5,-34.0,AVAILABLE,NORMAL
BOM-BLR,2026-09-06,Air India,T+1,5636,6133.5,-8.11,AVAILABLE,NORMAL
DEL-BOM,2026-09-06,SpiceJet,T+1,4651,7207.0,-35.47,AVAILABLE,NORMAL
DEL-BLR,2026-10-20,IndiGo,T+45,9893,6927.0,42.82,AVAILABLE,NORMAL
BLR-HYD,2026-10-05,Akasa Air,T+30,7200,6792.5,6.0,AVAILABLE,NORMAL
BLR-HYD,2026-09-06,SpiceJet,T+1,8387,6792.5,23.47,AVAILABLE,NORMAL
BOM-BLR,2026-09-12,IndiGo,T+7,5332,6133.5,-13.07,AVAILABLE,NORMAL
DEL-CCU,2026-10-05,SpiceJet,T+30,5527,6581.5,-16.02,AVAILABLE,NORMAL
DEL-CCU,2026-09-12,IndiGo,T+7,6007,6581.5,-8.73,AVAILABLE,NORMAL
DEL-BOM,2026-09-12,SpiceJet,T+7,8739,7207.0,21.26,AVAILABLE,NORMAL
DEL-BOM,2026-09-20,Air India,T+15,8741,7207.0,21.28,AVAILABLE,NORMAL
MAA-DEL,2026-10-05,Air India Express,T+30,5930,7393.0,-19.79,AVAILABLE,NORMAL
DEL-BOM,2026-09-20,Akasa Air,T+15,8257,7207.0,14.57,AVAILABLE,NORMAL
BLR-HYD,2026-09-06,SpiceJet,T+1,10212,6792.5,50.34,AVAILABLE,NORMAL
DEL-BLR,2026-10-20,Akasa Air,T+45,9073,6927.0,30.98,AVAILABLE,NORMAL
MAA-DEL,2026-09-06,Akasa Air,T+1,7360,7393.0,-0.45,AVAILABLE,NORMAL
DEL-BLR,2026-10-05,Air India Express,T+30,9312,6927.0,34.43,AVAILABLE,NORMAL
BLR-HYD,2026-10-05,IndiGo,T+30,4157,6792.5,-38.8,AVAILABLE,NORMAL
BLR-HYD,2026-10-20,IndiGo,T+45,7270,6792.5,7.03,AVAILABLE,NORMAL
DEL-CCU,2026-09-06,Akasa Air,T+1,5130,6581.5,-22.05,AVAILABLE,NORMAL
MAA-DEL,2026-09-06,Akasa Air,T+1,4086,7393.0,-44.73,AVAILABLE,NORMAL
BOM-BLR,2026-09-06,SpiceJet,T+1,8014,6133.5,30.66,AVAILABLE,NORMAL
DEL-BOM,2026-10-05,Air India,T+30,9348,7207.0,29.71,AVAILABLE,NORMAL
DEL-CCU,2026-09-12,Akasa Air,T+7,7392,6581.5,12.31,AVAILABLE,NORMAL
MAA-DEL,2026-09-06,Air India,T+1,5824,7393.0,-21.22,SOLD_OUT,NORMAL
DEL-BOM,2026-09-20,Air India Express,T+15,8619,7207.0,19.59,AVAILABLE,NORMAL
BLR-HYD,2026-09-20,Akasa Air,T+15,6533,6792.5,-3.82,AVAILABLE,NORMAL
BOM-BLR,2026-09-12,Air India,T+7,8185,6133.5,33.45,AVAILABLE,NORMAL
BOM-BLR,2026-10-05,Akasa Air,T+30,7093,6133.5,15.64,AVAILABLE,NORMAL
DEL-BOM,2026-10-20,Air India,T+45,8445,7207.0,17.18,AVAILABLE,NORMAL
BLR-HYD,2026-09-06,Akasa Air,T+1,9219,6792.5,35.72,AVAILABLE,NORMAL
DEL-CCU,2026-09-20,Air India Express,T+15,8728,6581.5,32.61,AVAILABLE,NORMAL
MAA-DEL,2026-10-05,SpiceJet,T+30,6468,7393.0,-12.51,AVAILABLE,NORMAL
BLR-HYD,2026-10-20,IndiGo,T+45,4011,6792.5,-40.95,AVAILABLE,NORMAL
MAA-DEL,2026-10-05,IndiGo,T+30,4684,7393.0,-36.64,AVAILABLE,NORMAL
MAA-DEL,2026-09-06,Air India Express,T+1,3961,7393.0,-46.42,AVAILABLE,NORMAL
DEL-CCU,2026-09-12,Air India,T+7,7966,6581.5,21.04,AVAILABLE,NORMAL
DEL-BLR,2026-10-20,IndiGo,T+45,6991,6927.0,0.92,AVAILABLE,NORMAL
DEL-BLR,2026-09-20,Akasa Air,T+15,7245,6927.0,4.59,AVAILABLE,NORMAL
BOM-BLR,2026-09-12,SpiceJet,T+7,4348,6133.5,-29.11,AVAILABLE,NORMAL
MAA-DEL,2026-09-20,Akasa Air,T+15,7151,7393.0,-3.27,MISSING,NORMAL
DEL-BLR,2026-10-20,Akasa Air,T+45,6653,6927.0,-3.96,MISSING,NORMAL
MAA-DEL,2026-09-20,Akasa Air,T+15,3916,7393.0,-47.03,AVAILABLE,NORMAL
BLR-HYD,2026-09-20,Akasa Air,T+15,9794,6792.5,44.19,AVAILABLE,NORMAL
DEL-BLR,2026-09-20,SpiceJet,T+15,9451,6927.0,36.44,AVAILABLE,NORMAL
MAA-DEL,2026-09-20,IndiGo,T+15,9969,7393.0,34.84,AVAILABLE,NORMAL
DEL-BOM,2026-09-20,Air India Express,T+15,9642,7207.0,33.79,AVAILABLE,NORMAL
BOM-BLR,2026-10-20,SpiceJet,T+45,5515,6133.5,-10.08,SOLD_OUT,NORMAL
BOM-BLR,2026-09-06,Air India Express,T+1,6999,6133.5,14.11,AVAILABLE,NORMAL
MAA-DEL,2026-10-20,Akasa Air,T+45,6340,7393.0,-14.24,AVAILABLE,NORMAL
DEL-BOM,2026-09-20,Akasa Air,T+15,9316,7207.0,29.26,AVAILABLE,NORMAL
DEL-BOM,2026-10-05,Air India,T+30,4115,7207.0,-42.9,SOLD_OUT,NORMAL
BLR-HYD,2026-09-06,Air India,T+1,8962,6792.5,31.94,AVAILABLE,NORMAL
DEL-BOM,2026-09-06,Air India,T+1,3791,7207.0,-47.4,AVAILABLE,NORMAL
BLR-HYD,2026-10-05,Air India,T+30,7316,6792.5,7.71,SOLD_OUT,NORMAL
DEL-CCU,2026-09-12,SpiceJet,T+7,7143,6581.5,8.53,AVAILABLE,NORMAL
BOM-BLR,2026-09-20,IndiGo,T+15,5396,6133.5,-12.02,SOLD_OUT,NORMAL
MAA-DEL,2026-10-20,Air India Express,T+45,8714,7393.0,17.87,AVAILABLE,NORMAL
DEL-CCU,2026-09-12,IndiGo,T+7,9112,6581.5,38.45,MISSING,NORMAL
BOM-BLR,2026-09-12,Air India,T+7,10126,6133.5,65.09,AVAILABLE,NORMAL
BLR-HYD,2026-09-12,Air India,T+7,6093,6792.5,-10.3,SOLD_OUT,NORMAL
DEL-BLR,2026-10-20,Air India,T+45,5309,6927.0,-23.36,AVAILABLE,NORMAL
DEL-BOM,2026-09-12,Air India Express,T+7,8208,7207.0,13.89,AVAILABLE,NORMAL
MAA-DEL,2026-10-20,Akasa Air,T+45,4167,7393.0,-43.64,AVAILABLE,NORMAL
BLR-HYD,2026-10-05,IndiGo,T+30,7645,6792.5,12.55,AVAILABLE,NORMAL
MAA-DEL,2026-09-20,SpiceJet,T+15,7706,7393.0,4.23,AVAILABLE,NORMAL
DEL-CCU,2026-09-06,Akasa Air,T+1,7538,6581.5,14.53,AVAILABLE,NORMAL
DEL-BLR,2026-09-12,IndiGo,T+7,6103,6927.0,-11.9,AVAILABLE,NORMAL
DEL-CCU,2026-10-20,SpiceJet,T+45,6058,6581.5,-7.95,AVAILABLE,NORMAL
MAA-DEL,2026-10-20,IndiGo,T+45,9285,7393.0,25.59,AVAILABLE,NORMAL
BOM-BLR,2026-10-05,Akasa Air,T+30,6634,6133.5,8.16,AVAILABLE,NORMAL
BOM-BLR,2026-10-05,Air India,T+30,3904,6133.5,-36.35,AVAILABLE,NORMAL
MAA-DEL,2026-09-12,Air India Express,T+7,7818,7393.0,5.75,SOLD_OUT,NORMAL
MAA-DEL,2026-10-05,IndiGo,T+30,6867,7393.0,-7.11,AVAILABLE,NORMAL
BOM-BLR,2026-09-20,SpiceJet,T+15,6183,6133.5,0.81,AVAILABLE,NORMAL
DEL-CCU,2026-09-06,Air India,T+1,6581,6581.5,-0.01,AVAILABLE,NORMAL
DEL-BLR,2026-10-20,Akasa Air,T+45,10129,6927.0,46.22,AVAILABLE,NORMAL
BLR-HYD,2026-09-06,Air India Express,T+1,4985,6792.5,-26.61,AVAILABLE,NORMAL
DEL-BOM,2026-09-12,Air India,T+7,8464,7207.0,17.44,AVAILABLE,NORMAL
DEL-BOM,2026-10-20,IndiGo,T+45,5304,7207.0,-26.4,AVAILABLE,NORMAL
BOM-BLR,2026-10-20,Air India Express,T+45,8246,6133.5,34.44,AVAILABLE,NORMAL
BLR-HYD,2026-09-06,IndiGo,T+1,5901,6792.5,-13.12,AVAILABLE,NORMAL
DEL-CCU,2026-09-12,Air India Express,T+7,9787,6581.5,48.7,AVAILABLE,NORMAL
MAA-DEL,2026-10-05,SpiceJet,T+30,8127,7393.0,9.93,AVAILABLE,NORMAL
DEL-BOM,2026-09-12,IndiGo,T+7,5931,7207.0,-17.71,AVAILABLE,NORMAL
BOM-BLR,2026-09-06,IndiGo,T+1,7608,6133.5,24.04,AVAILABLE,NORMAL
DEL-BLR,2026-10-20,SpiceJet,T+45,8902,6927.0,28.51,AVAILABLE,NORMAL
DEL-CCU,2026-10-05,IndiGo,T+30,4154,6581.5,-36.88,AVAILABLE,NORMAL
MAA-DEL,2026-09-20,Akasa Air,T+15,4412,7393.0,-40.32,SOLD_OUT,NORMAL
BLR-HYD,2026-09-20,Akasa Air,T+15,4434,6792.5,-34.72,AVAILABLE,NORMAL
DEL-CCU,2026-09-06,SpiceJet,T+1,6799,6581.5,3.3,AVAILABLE,NORMAL
DEL-BLR,2026-10-20,IndiGo,T+45,8488,6927.0,22.54,AVAILABLE,NORMAL
MAA-DEL,2026-09-12,Air India,T+7,4106,7393.0,-44.46,AVAILABLE,NORMAL
MAA-DEL,2026-09-12,IndiGo,T+7,10150,7393.0,37.29,AVAILABLE,NORMAL
BLR-HYD,2026-10-20,Akasa Air,T+45,9126,6792.5,34.35,AVAILABLE,NORMAL
DEL-BLR,2026-09-06,Akasa Air,T+1,7504,6927.0,8.33,AVAILABLE,NORMAL
DEL-BOM,2026-10-20,Air India Express,T+45,4092,7207.0,-43.22,AVAILABLE,NORMAL
BOM-BLR,2026-09-06,IndiGo,T+1,8825,6133.5,43.88,AVAILABLE,NORMAL
MAA-DEL,2026-10-05,IndiGo,T+30,8448,7393.0,14.27,AVAILABLE,NORMAL
DEL-BLR,2026-10-05,IndiGo,T+30,4430,6927.0,-36.05,AVAILABLE,NORMAL
DEL-BOM,2026-10-05,Air India,T+30,7318,7207.0,1.54,AVAILABLE,NORMAL
BOM-BLR,2026-10-05,Akasa Air,T+30,9913,6133.5,61.62,AVAILABLE,NORMAL
BOM-BLR,2026-09-20,IndiGo,T+15,4568,6133.5,-25.52,AVAILABLE,NORMAL
MAA-DEL,2026-09-12,SpiceJet,T+7,6012,7393.0,-18.68,AVAILABLE,NORMAL
MAA-DEL,2026-09-12,Akasa Air,T+7,8089,7393.0,9.41,AVAILABLE,NORMAL
BOM-BLR,2026-10-20,Air India,T+45,4647,6133.5,-24.24,AVAILABLE,NORMAL
BOM-BLR,2026-09-12,Air India Express,T+7,5395,6133.5,-12.04,AVAILABLE,NORMAL
DEL-BLR,2026-09-06,Air India,T+1,5705,6927.0,-17.64,AVAILABLE,NORMAL
BLR-HYD,2026-09-20,IndiGo,T+15,9992,6792.5,47.1,AVAILABLE,NORMAL
DEL-BLR,2026-09-12,SpiceJet,T+7,9416,6927.0,35.93,AVAILABLE,NORMAL
DEL-BLR,2026-10-20,Akasa Air,T+45,5902,6927.0,-14.8,AVAILABLE,NORMAL
DEL-CCU,2026-09-20,Air India,T+15,9302,6581.5,41.34,AVAILABLE,NORMAL
DEL-CCU,2026-10-20,SpiceJet,T+45,6853,6581.5,4.13,AVAILABLE,NORMAL
BOM-BLR,2026-10-05,IndiGo,T+30,6896,6133.5,12.43,AVAILABLE,NORMAL
DEL-BOM,2026-09-06,Air India Express,T+1,9534,7207.0,32.29,AVAILABLE,NORMAL
DEL-CCU,2026-09-12,IndiGo,T+7,7340,6581.5,11.52,AVAILABLE,NORMAL
BLR-HYD,2026-09-12,Air India Express,T+7,6391,6792.5,-5.91,AVAILABLE,NORMAL
DEL-BOM,2026-09-12,Air India Express,T+7,4289,7207.0,-40.49,SOLD_OUT,NORMAL
DEL-BLR,2026-10-05,Akasa Air,T+30,8326,6927.0,20.2,AVAILABLE,NORMAL
DEL-BLR,2026-10-20,SpiceJet,T+45,7834,6927.0,13.09,AVAILABLE,NORMAL
DEL-BOM,2026-09-12,IndiGo,T+7,7346,7207.0,1.93,AVAILABLE,NORMAL
DEL-CCU,2026-10-20,SpiceJet,T+45,3962,6581.5,-39.8,AVAILABLE,NORMAL
BOM-BLR,2026-09-06,Akasa Air,T+1,8508,6133.5,38.71,AVAILABLE,NORMAL
MAA-DEL,2026-10-20,IndiGo,T+45,6317,7393.0,-14.55,AVAILABLE,NORMAL
BLR-HYD,2026-09-06,SpiceJet,T+1,6740,6792.5,-0.77,AVAILABLE,NORMAL
MAA-DEL,2026-09-20,IndiGo,T+15,9666,7393.0,30.75,AVAILABLE,NORMAL
DEL-BOM,2026-09-20,SpiceJet,T+15,4277,7207.0,-40.65,AVAILABLE,NORMAL
MAA-DEL,2026-10-05,Akasa Air,T+30,8618,7393.0,16.57,AVAILABLE,NORMAL
DEL-CCU,2026-09-20,IndiGo,T+15,4947,6581.5,-24.83,AVAILABLE,NORMAL
BOM-BLR,2026-10-05,SpiceJet,T+30,8046,6133.5,31.18,AVAILABLE,NORMAL
BOM-BLR,2026-09-06,Air India Express,T+1,8829,6133.5,43.95,AVAILABLE,NORMAL
DEL-CCU,2026-10-05,Akasa Air,T+30,6145,6581.5,-6.63,AVAILABLE,NORMAL
BLR-HYD,2026-09-06,Air India Express,T+1,9460,6792.5,39.27,AVAILABLE,NORMAL
BOM-BLR,2026-09-06,Air India Express,T+1,4209,6133.5,-31.38,AVAILABLE,NORMAL
MAA-DEL,2026-09-12,Akasa Air,T+7,9243,7393.0,25.02,AVAILABLE,NORMAL
BOM-BLR,2026-10-05,SpiceJet,T+30,6203,6133.5,1.13,AVAILABLE,NORMAL
MAA-DEL,2026-09-20,Akasa Air,T+15,7988,7393.0,8.05,SOLD_OUT,NORMAL
BLR-HYD,2026-09-06,Akasa Air,T+1,4212,6792.5,-37.99,AVAILABLE,NORMAL
DEL-CCU,2026-09-06,SpiceJet,T+1,8336,6581.5,26.66,AVAILABLE,NORMAL
DEL-CCU,2026-10-20,IndiGo,T+45,4812,6581.5,-26.89,AVAILABLE,NORMAL
DEL-BLR,2026-09-06,IndiGo,T+1,9393,6927.0,35.6,AVAILABLE,NORMAL
BOM-BLR,2026-10-05,Air India Express,T+30,5506,6133.5,-10.23,AVAILABLE,NORMAL
DEL-BOM,2026-09-06,Air India,T+1,7159,7207.0,-0.67,AVAILABLE,NORMAL
MAA-DEL,2026-09-20,Air India Express,T+15,9068,7393.0,22.66,AVAILABLE,NORMAL
DEL-BLR,2026-09-20,Air India,T+15,7477,6927.0,7.94,MISSING,NORMAL
DEL-CCU,2026-09-20,IndiGo,T+15,8268,6581.5,25.62,AVAILABLE,NORMAL
BLR-HYD,2026-09-06,IndiGo,T+1,6173,6792.5,-9.12,AVAILABLE,NORMAL
DEL-CCU,2026-09-06,SpiceJet,T+1,4564,6581.5,-30.65,AVAILABLE,NORMAL
BLR-HYD,2026-09-12,Air India Express,T+7,10168,6792.5,49.69,AVAILABLE,NORMAL
BLR-HYD,2026-09-06,IndiGo,T+1,7527,6792.5,10.81,AVAILABLE,NORMAL
MAA-DEL,2026-09-20,Air India,T+15,7806,7393.0,5.59,AVAILABLE,NORMAL
BLR-HYD,2026-09-12,Air India Express,T+7,8637,6792.5,27.15,AVAILABLE,NORMAL
DEL-BLR,2026-10-20,SpiceJet,T+45,4656,6927.0,-32.78,AVAILABLE,NORMAL
BLR-HYD,2026-09-06,IndiGo,T+1,4003,6792.5,-41.07,AVAILABLE,NORMAL
MAA-DEL,2026-10-20,Air India,T+45,7257,7393.0,-1.84,AVAILABLE,NORMAL
BOM-BLR,2026-10-05,Air India Express,T+30,5547,6133.5,-9.56,AVAILABLE,NORMAL
DEL-BLR,2026-10-05,Akasa Air,T+30,7543,6927.0,8.89,AVAILABLE,NORMAL
MAA-DEL,2026-09-20,Air India Express,T+15,6643,7393.0,-10.14,AVAILABLE,NORMAL
BOM-BLR,2026-10-05,Air India,T+30,4441,6133.5,-27.59,AVAILABLE,NORMAL
BOM-BLR,2026-10-20,Akasa Air,T+45,6975,6133.5,13.72,AVAILABLE,NORMAL
BOM-BLR,2026-09-20,SpiceJet,T+15,4895,6133.5,-20.19,MISSING,NORMAL
BOM-BLR,2026-09-06,Akasa Air,T+1,4318,6133.5,-29.6,AVAILABLE,NORMAL
BLR-HYD,2026-09-06,Air India Express,T+1,3878,6792.5,-42.91,AVAILABLE,NORMAL
DEL-CCU,2026-10-20,Air India Express,T+45,3336,6581.5,-49.31,AVAILABLE,NORMAL
BOM-BLR,2026-09-20,Akasa Air,T+15,3843,6133.5,-37.34,AVAILABLE,NORMAL
BLR-HYD,2026-09-06,Air India Express,T+1,6845,6792.5,0.77,AVAILABLE,NORMAL
BLR-HYD,2026-09-06,SpiceJet,T+1,4303,6792.5,-36.65,AVAILABLE,NORMAL
