observation_id,route,airline,total_fare,route_median_fare,fare_deviation_pct,availability,outlier_flag
A0084,DEL-BLR,Air India,7643,6927.0,10.34,AVAILABLE,NORMAL
A0085,MAA-DEL,Air India Express,5199,7393.0,-29.68,SOLD_OUT,NORMAL
A0086,DEL-BLR,Air India Express,8053,6927.0,16.26,AVAILABLE,NORMAL
A0087,DEL-CCU,Akasa Air,4454,6581.5,-32.33,AVAILABLE,NORMAL
A0088,MAA-DEL,Air India Express,4820,7393.0,-34.8,AVAILABLE,NORMAL
A0089,MAA-DEL,Air India Express,7944,7393.0,7.45,AVAILABLE,NORMAL
A0090,DEL-CCU,IndiGo,6895,6581.5,4.76,AVAILABLE,NORMAL
A0091,DEL-CCU,Air India,8811,6581.5,33.88,AVAILABLE,NORMAL
A0092,DEL-CCU,Akasa Air,9712,6581.5,47.57,AVAILABLE,NORMAL
A0093,DEL-BOM,Air India Express,5667,7207.0,-21.37,AVAILABLE,NORMAL
A0094,DEL-BOM,Akasa Air,5092,7207.0,-29.35,AVAILABLE,NORMAL
A0095,BOM-BLR,SpiceJet,7745,6133.5,26.27,SOLD_OUT,NORMAL
A0096,MAA-DEL,Akasa Air,8020,7393.0,8.48,AVAILABLE,NORMAL
A0097,DEL-CCU,IndiGo,5789,6581.5,-12.04,AVAILABLE,NORMAL
A0098,BLR-HYD,Air India Express,8215,6792.5,20.94,AVAILABLE,NORMAL
A0099,BOM-BLR,Air India Express,5646,6133.5,-7.95,AVAILABLE,NORMAL
A0100,BOM-BLR,IndiGo,9531,6133.5,55.39,AVAILABLE,NORMAL
A0101,MAA-DEL,SpiceJet,8252,7393.0,11.62,AVAILABLE,NORMAL
A0102,BOM-BLR,Air India,3743,6133.5,-38.97,AVAILABLE,NORMAL
A0103,BOM-BLR,Air India,4048,6133.5,-34.0,AVAILABLE,NORMAL
A0104,BOM-BLR,Air India,5636,6133.5,-8.11,AVAILABLE,NORMAL
A0105,DEL-BOM,SpiceJet,4651,7207.0,-35.47,AVAILABLE,NORMAL
A0106,DEL-BLR,IndiGo,9893,6927.0,42.82,AVAILABLE,NORMAL
A0107,BLR-HYD,Akasa Air,7200,6792.5,6.0,AVAILABLE,NORMAL
A0108,BLR-HYD,SpiceJet,8387,6792.5,23.47,AVAILABLE,NORMAL
A0109,BOM-BLR,IndiGo,5332,6133.5,-13.07,AVAILABLE,NORMAL
A0110,DEL-CCU,SpiceJet,5527,6581.5,-16.02,AVAILABLE,NORMAL
A0111,DEL-CCU,IndiGo,6007,6581.5,-8.73,AVAILABLE,NORMAL
A0112,DEL-BOM,SpiceJet,8739,7207.0,21.26,AVAILABLE,NORMAL
A0113,DEL-BOM,Air India,8741,7207.0,21.28,AVAILABLE,NORMAL
A0114,MAA-DEL,Air India Express,5930,7393.0,-19.79,AVAILABLE,NORMAL
A0115,DEL-BOM,Akasa Air,8257,7207.0,14.57,AVAILABLE,NORMAL
A0116,BLR-HYD,SpiceJet,10212,6792.5,50.34,AVAILABLE,NORMAL
A0117,DEL-BLR,Akasa Air,9073,6927.0,30.98,AVAILABLE,NORMAL
A0118,MAA-DEL,Akasa Air,7360,7393.0,-0.45,AVAILABLE,NORMAL
A0119,DEL-BLR,Air India Express,9312,6927.0,34.43,AVAILABLE,NORMAL
A0120,BLR-HYD,IndiGo,4157,6792.5,-38.8,AVAILABLE,NORMAL
A0121,BLR-HYD,IndiGo,7270,6792.5,7.03,AVAILABLE,NORMAL
A0122,DEL-CCU,Akasa Air,5130,6581.5,-22.05,AVAILABLE,NORMAL
A0123,MAA-DEL,Akasa Air,4086,7393.0,-44.73,AVAILABLE,NORMAL
A0124,BOM-BLR,SpiceJet,8014,6133.5,30.66,AVAILABLE,NORMAL
A0125,DEL-BOM,Air India,9348,7207.0,29.71,AVAILABLE,NORMAL
A0126,DEL-CCU,Akasa Air,7392,6581.5,12.31,AVAILABLE,NORMAL
A0127,MAA-DEL,Air India,5824,7393.0,-21.22,SOLD_OUT,NORMAL
A0128,DEL-BOM,Air India Express,8619,7207.0,19.59,AVAILABLE,NORMAL
A0129,BLR-HYD,Akasa Air,6533,6792.5,-3.82,AVAILABLE,NORMAL
A0130,BOM-BLR,Air India,8185,6133.5,33.45,AVAILABLE,NORMAL
A0131,BOM-BLR,Akasa Air,7093,6133.5,15.64,AVAILABLE,NORMAL
A0132,DEL-BOM,Air India,8445,7207.0,17.18,AVAILABLE,NORMAL
A0133,BLR-HYD,Akasa Air,9219,6792.5,35.72,AVAILABLE,NORMAL
A0134,DEL-CCU,Air India Express,8728,6581.5,32.61,AVAILABLE,NORMAL
A0135,MAA-DEL,SpiceJet,6468,7393.0,-12.51,AVAILABLE,NORMAL
A0136,BLR-HYD,IndiGo,4011,6792.5,-40.95,AVAILABLE,NORMAL
A0137,MAA-DEL,IndiGo,4684,7393.0,-36.64,AVAILABLE,NORMAL
A0138,MAA-DEL,Air India Express,3961,7393.0,-46.42,AVAILABLE,NORMAL
A0139,DEL-CCU,Air India,7966,6581.5,21.04,AVAILABLE,NORMAL
A0140,DEL-BLR,IndiGo,6991,6927.0,0.92,AVAILABLE,NORMAL
A0141,DEL-BLR,Akasa Air,7245,6927.0,4.59,AVAILABLE,NORMAL
A0142,BOM-BLR,SpiceJet,4348,6133.5,-29.11,AVAILABLE,NORMAL
A0143,MAA-DEL,Akasa Air,7151,7393.0,-3.27,MISSING,NORMAL
A0144,DEL-BLR,Akasa Air,6653,6927.0,-3.96,MISSING,NORMAL
A0145,MAA-DEL,Akasa Air,3916,7393.0,-47.03,AVAILABLE,NORMAL
A0146,BLR-HYD,Akasa Air,9794,6792.5,44.19,AVAILABLE,NORMAL
A0147,DEL-BLR,SpiceJet,9451,6927.0,36.44,AVAILABLE,NORMAL
A0148,MAA-DEL,IndiGo,9969,7393.0,34.84,AVAILABLE,NORMAL
A0149,DEL-BOM,Air India Express,9642,7207.0,33.79,AVAILABLE,NORMAL
A0150,BOM-BLR,SpiceJet,5515,6133.5,-10.08,SOLD_OUT,NORMAL
A0151,BOM-BLR,Air India Express,6999,6133.5,14.11,AVAILABLE,NORMAL
A0152,MAA-DEL,Akasa Air,6340,7393.0,-14.24,AVAILABLE,NORMAL
A0153,DEL-BOM,Akasa Air,9316,7207.0,29.26,AVAILABLE,NORMAL
A0154,DEL-BOM,Air India,4115,7207.0,-42.9,SOLD_OUT,NORMAL
A0155,BLR-HYD,Air India,8962,6792.5,31.94,AVAILABLE,NORMAL
A0156,DEL-BOM,Air India,3791,7207.0,-47.4,AVAILABLE,NORMAL
A0157,BLR-HYD,Air India,7316,6792.5,7.71,SOLD_OUT,NORMAL
A0158,DEL-CCU,SpiceJet,7143,6581.5,8.53,AVAILABLE,NORMAL
A0159,BOM-BLR,IndiGo,5396,6133.5,-12.02,SOLD_OUT,NORMAL
A0160,MAA-DEL,Air India Express,8714,7393.0,17.87,AVAILABLE,NORMAL
A0161,DEL-CCU,IndiGo,9112,6581.5,38.45,MISSING,NORMAL
A0162,BOM-BLR,Air India,10126,6133.5,65.09,AVAILABLE,NORMAL
A0163,BLR-HYD,Air India,6093,6792.5,-10.3,SOLD_OUT,NORMAL
A0164,DEL-BLR,Air India,5309,6927.0,-23.36,AVAILABLE,NORMAL
A0165,DEL-BOM,Air India Express,8208,7207.0,13.89,AVAILABLE,NORMAL
A0166,MAA-DEL,Akasa Air,4167,7393.0,-43.64,AVAILABLE,NORMAL
A0167,BLR-HYD,IndiGo,7645,6792.5,12.55,AVAILABLE,NORMAL
A0168,MAA-DEL,SpiceJet,7706,7393.0,4.23,AVAILABLE,NORMAL
A0169,DEL-CCU,Akasa Air,7538,6581.5,14.53,AVAILABLE,NORMAL
A0170,DEL-BLR,IndiGo,6103,6927.0,-11.9,AVAILABLE,NORMAL
A0171,DEL-CCU,SpiceJet,6058,6581.5,-7.95,AVAILABLE,NORMAL
A0172,MAA-DEL,IndiGo,9285,7393.0,25.59,AVAILABLE,NORMAL
A0173,BOM-BLR,Akasa Air,6634,6133.5,8.16,AVAILABLE,NORMAL
A0174,BOM-BLR,Air India,3904,6133.5,-36.35,AVAILABLE,NORMAL
A0175,MAA-DEL,Air India Express,7818,7393.0,5.75,SOLD_OUT,NORMAL
A0176,MAA-DEL,IndiGo,6867,7393.0,-7.11,AVAILABLE,NORMAL
A0177,BOM-BLR,SpiceJet,6183,6133.5,0.81,AVAILABLE,NORMAL
A0178,DEL-CCU,Air India,6581,6581.5,-0.01,AVAILABLE,NORMAL
A0179,DEL-BLR,Akasa Air,10129,6927.0,46.22,AVAILABLE,NORMAL
A0180,BLR-HYD,Air India Express,4985,6792.5,-26.61,AVAILABLE,NORMAL
A0181,DEL-BOM,Air India,8464,7207.0,17.44,AVAILABLE,NORMAL
A0182,DEL-BOM,IndiGo,5304,7207.0,-26.4,AVAILABLE,NORMAL
A0183,BOM-BLR,Air India Express,8246,6133.5,34.44,AVAILABLE,NORMAL
A0184,BLR-HYD,IndiGo,5901,6792.5,-13.12,AVAILABLE,NORMAL
A0185,DEL-CCU,Air India Express,9787,6581.5,48.7,AVAILABLE,NORMAL
A0186,MAA-DEL,SpiceJet,8127,7393.0,9.93,AVAILABLE,NORMAL
A0187,DEL-BOM,IndiGo,5931,7207.0,-17.71,AVAILABLE,NORMAL
A0188,BOM-BLR,IndiGo,7608,6133.5,24.04,AVAILABLE,NORMAL
A0189,DEL-BLR,SpiceJet,8902,6927.0,28.51,AVAILABLE,NORMAL
A0190,DEL-CCU,IndiGo,4154,6581.5,-36.88,AVAILABLE,NORMAL
A0191,MAA-DEL,Akasa Air,4412,7393.0,-40.32,SOLD_OUT,NORMAL
A0192,BLR-HYD,Akasa Air,4434,6792.5,-34.72,AVAILABLE,NORMAL
A0193,DEL-CCU,SpiceJet,6799,6581.5,3.3,AVAILABLE,NORMAL
A0194,DEL-BLR,IndiGo,8488,6927.0,22.54,AVAILABLE,NORMAL
A0195,MAA-DEL,Air India,4106,7393.0,-44.46,AVAILABLE,NORMAL
A0196,MAA-DEL,IndiGo,10150,7393.0,37.29,AVAILABLE,NORMAL
A0197,BLR-HYD,Akasa Air,9126,6792.5,34.35,AVAILABLE,NORMAL
A0198,DEL-BLR,Akasa Air,7504,6927.0,8.33,AVAILABLE,NORMAL
A0199,DEL-BOM,Air India Express,4092,7207.0,-43.22,AVAILABLE,NORMAL
A0200,BOM-BLR,IndiGo,8825,6133.5,43.88,AVAILABLE,NORMAL
A0201,MAA-DEL,IndiGo,8448,7393.0,14.27,AVAILABLE,NORMAL
A0202,DEL-BLR,IndiGo,4430,6927.0,-36.05,AVAILABLE,NORMAL
A0203,DEL-BOM,Air India,7318,7207.0,1.54,AVAILABLE,NORMAL
A0204,BOM-BLR,Akasa Air,9913,6133.5,61.62,AVAILABLE,NORMAL
A0205,BOM-BLR,IndiGo,4568,6133.5,-25.52,AVAILABLE,NORMAL
A0206,MAA-DEL,SpiceJet,6012,7393.0,-18.68,AVAILABLE,NORMAL
A0207,MAA-DEL,Akasa Air,8089,7393.0,9.41,AVAILABLE,NORMAL
A0208,BOM-BLR,Air India,4647,6133.5,-24.24,AVAILABLE,NORMAL
A0209,BOM-BLR,Air India Express,5395,6133.5,-12.04,AVAILABLE,NORMAL
A0210,DEL-BLR,Air India,5705,6927.0,-17.64,AVAILABLE,NORMAL
A0211,BLR-HYD,IndiGo,9992,6792.5,47.1,AVAILABLE,NORMAL
A0212,DEL-BLR,SpiceJet,9416,6927.0,35.93,AVAILABLE,NORMAL
A0213,DEL-BLR,Akasa Air,5902,6927.0,-14.8,AVAILABLE,NORMAL
A0214,DEL-CCU,Air India,9302,6581.5,41.34,AVAILABLE,NORMAL
A0215,DEL-CCU,SpiceJet,6853,6581.5,4.13,AVAILABLE,NORMAL
A0216,BOM-BLR,IndiGo,6896,6133.5,12.43,AVAILABLE,NORMAL
A0217,DEL-BOM,Air India Express,9534,7207.0,32.29,AVAILABLE,NORMAL
A0218,DEL-CCU,IndiGo,7340,6581.5,11.52,AVAILABLE,NORMAL
A0219,BLR-HYD,Air India Express,6391,6792.5,-5.91,AVAILABLE,NORMAL
A0220,DEL-BOM,Air India Express,4289,7207.0,-40.49,SOLD_OUT,NORMAL
A0221,DEL-BLR,Akasa Air,8326,6927.0,20.2,AVAILABLE,NORMAL
A0222,DEL-BLR,SpiceJet,7834,6927.0,13.09,AVAILABLE,NORMAL
A0223,DEL-BOM,IndiGo,7346,7207.0,1.93,AVAILABLE,NORMAL
A0224,DEL-CCU,SpiceJet,3962,6581.5,-39.8,AVAILABLE,NORMAL
A0225,BOM-BLR,Akasa Air,8508,6133.5,38.71,AVAILABLE,NORMAL
A0226,MAA-DEL,IndiGo,6317,7393.0,-14.55,AVAILABLE,NORMAL
A0227,BLR-HYD,SpiceJet,6740,6792.5,-0.77,AVAILABLE,NORMAL
A0228,MAA-DEL,IndiGo,9666,7393.0,30.75,AVAILABLE,NORMAL
A0229,DEL-BOM,SpiceJet,4277,7207.0,-40.65,AVAILABLE,NORMAL
A0230,MAA-DEL,Akasa Air,8618,7393.0,16.57,AVAILABLE,NORMAL
A0231,DEL-CCU,IndiGo,4947,6581.5,-24.83,AVAILABLE,NORMAL
A0232,BOM-BLR,SpiceJet,8046,6133.5,31.18,AVAILABLE,NORMAL
A0233,BOM-BLR,Air India Express,8829,6133.5,43.95,AVAILABLE,NORMAL
A0234,DEL-CCU,Akasa Air,6145,6581.5,-6.63,AVAILABLE,NORMAL
A0235,BLR-HYD,Air India Express,9460,6792.5,39.27,AVAILABLE,NORMAL
A0236,BOM-BLR,Air India Express,4209,6133.5,-31.38,AVAILABLE,NORMAL
A0237,MAA-DEL,Akasa Air,9243,7393.0,25.02,AVAILABLE,NORMAL
A0238,BOM-BLR,SpiceJet,6203,6133.5,1.13,AVAILABLE,NORMAL
A0239,MAA-DEL,Akasa Air,7988,7393.0,8.05,SOLD_OUT,NORMAL
A0240,BLR-HYD,Akasa Air,4212,6792.5,-37.99,AVAILABLE,NORMAL
A0241,DEL-CCU,SpiceJet,8336,6581.5,26.66,AVAILABLE,NORMAL
A0242,DEL-CCU,IndiGo,4812,6581.5,-26.89,AVAILABLE,NORMAL
A0243,DEL-BLR,IndiGo,9393,6927.0,35.6,AVAILABLE,NORMAL
A0244,BOM-BLR,Air India Express,5506,6133.5,-10.23,AVAILABLE,NORMAL
A0245,DEL-BOM,Air India,7159,7207.0,-0.67,AVAILABLE,NORMAL
A0246,MAA-DEL,Air India Express,9068,7393.0,22.66,AVAILABLE,NORMAL
A0247,DEL-BLR,Air India,7477,6927.0,7.94,MISSING,NORMAL
A0248,DEL-CCU,IndiGo,8268,6581.5,25.62,AVAILABLE,NORMAL
A0249,BLR-HYD,IndiGo,6173,6792.5,-9.12,AVAILABLE,NORMAL
A0250,DEL-CCU,SpiceJet,4564,6581.5,-30.65,AVAILABLE,NORMAL
A0251,BLR-HYD,Air India Express,10168,6792.5,49.69,AVAILABLE,NORMAL
A0252,BLR-HYD,IndiGo,7527,6792.5,10.81,AVAILABLE,NORMAL
A0253,MAA-DEL,Air India,7806,7393.0,5.59,AVAILABLE,NORMAL
A0254,BLR-HYD,Air India Express,8637,6792.5,27.15,AVAILABLE,NORMAL
A0255,DEL-BLR,SpiceJet,4656,6927.0,-32.78,AVAILABLE,NORMAL
A0256,BLR-HYD,IndiGo,4003,6792.5,-41.07,AVAILABLE,NORMAL
A0257,MAA-DEL,Air India,7257,7393.0,-1.84,AVAILABLE,NORMAL
A0258,BOM-BLR,Air India Express,5547,6133.5,-9.56,AVAILABLE,NORMAL
A0259,DEL-BLR,Akasa Air,7543,6927.0,8.89,AVAILABLE,NORMAL
A0260,MAA-DEL,Air India Express,6643,7393.0,-10.14,AVAILABLE,NORMAL
A0261,BOM-BLR,Air India,4441,6133.5,-27.59,AVAILABLE,NORMAL
A0262,BOM-BLR,Akasa Air,6975,6133.5,13.72,AVAILABLE,NORMAL
A0263,BOM-BLR,SpiceJet,4895,6133.5,-20.19,MISSING,NORMAL
A0264,BOM-BLR,Akasa Air,4318,6133.5,-29.6,AVAILABLE,NORMAL
A0265,BLR-HYD,Air India Express,3878,6792.5,-42.91,AVAILABLE,NORMAL
A0266,DEL-CCU,Air India Express,3336,6581.5,-49.31,AVAILABLE,NORMAL
A0267,BOM-BLR,Akasa Air,3843,6133.5,-37.34,AVAILABLE,NORMAL
A0268,BLR-HYD,Air India Express,6845,6792.5,0.77,AVAILABLE,NORMAL
A0269,BLR-HYD,SpiceJet,4303,6792.5,-36.65,AVAILABLE,NORMAL
A0270,BOM-BLR,Air India,8608,6133.5,40.34,AVAILABLE,NORMAL
A0271,DEL-BLR,Air India Express,7809,6927.0,12.73,AVAILABLE,NORMAL
A0272,BOM-BLR,SpiceJet,4940,6133.5,-19.46,AVAILABLE,NORMAL
A0273,BOM-BLR,SpiceJet,8092,6133.5,31.93,AVAILABLE,NORMAL
A0274,DEL-BOM,Air India Express,8931,7207.0,23.92,AVAILABLE,NORMAL
A0275,MAA-DEL,IndiGo,7455,7393.0,0.84,AVAILABLE,NORMAL
A0276,DEL-BLR,IndiGo,7293,6927.0,5.28,AVAILABLE,NORMAL
A0277,DEL-CCU,Air India,4136,6581.5,-37.16,AVAILABLE,NORMAL
A0278,DEL-CCU,Air India Express,4888,6581.5,-25.73,AVAILABLE,NORMAL
A0279,BLR-HYD,Akasa Air,9104,6792.5,34.03,AVAILABLE,NORMAL
A0280,DEL-CCU,SpiceJet,5914,6581.5,-10.14,SOLD_OUT,NORMAL
A0281,BOM-BLR,Air India Express,7457,6133.5,21.58,AVAILABLE,NORMAL
A0282,DEL-BLR,Air India Express,9212,6927.0,32.99,AVAILABLE,NORMAL
A0283,BOM-BLR,SpiceJet,5677,6133.5,-7.44,AVAILABLE,NORMAL
A0284,DEL-CCU,Air India Express,5545,6581.5,-15.75,SOLD_OUT,NORMAL
A0285,DEL-CCU,Air India Express,5219,6581.5,-20.7,AVAILABLE,NORMAL
A0286,BOM-BLR,Air India,8754,6133.5,42.72,AVAILABLE,NORMAL
A0287,BLR-HYD,Air India,3687,6792.5,-45.72,AVAILABLE,NORMAL
A0288,MAA-DEL,Air India,7823,7393.0,5.82,AVAILABLE,NORMAL
A0289,MAA-DEL,Air India,6138,7393.0,-16.98,AVAILABLE,NORMAL
A0290,BLR-HYD,Air India,9372,6792.5,37.98,SOLD_OUT,NORMAL
A0291,DEL-BLR,IndiGo,10058,6927.0,45.2,SOLD_OUT,NORMAL
A0292,DEL-BOM,IndiGo,8346,7207.0,15.8,SOLD_OUT,NORMAL
A0293,DEL-CCU,SpiceJet,7450,6581.5,13.2,AVAILABLE,NORMAL
A0294,DEL-BOM,Air India Express,9673,7207.0,34.22,AVAILABLE,NORMAL
A0295,MAA-DEL,Air India Express,8584,7393.0,16.11,AVAILABLE,NORMAL
A0296,MAA-DEL,Akasa Air,7628,7393.0,3.18,AVAILABLE,NORMAL
A0297,DEL-BLR,Akasa Air,5154,6927.0,-25.6,AVAILABLE,NORMAL
A0298,BOM-BLR,Air India Express,8409,6133.5,37.1,AVAILABLE,NORMAL
A0299,DEL-BLR,IndiGo,7216,6927.0,4.17,AVAILABLE,NORMAL
A0300,MAA-DEL,Air India Express,8678,7393.0,17.38,AVAILABLE,NORMAL
A0301,DEL-CCU,Air India,9890,6581.5,50.27,AVAILABLE,NORMAL
A0302,DEL-CCU,SpiceJet,9718,6581.5,47.66,AVAILABLE,NORMAL
A0303,DEL-CCU,SpiceJet,4294,6581.5,-34.76,AVAILABLE,NORMAL
A0304,BLR-HYD,Air India,7641,6792.5,12.49,AVAILABLE,NORMAL
A0305,DEL-BOM,Air India,7377,7207.0,2.36,AVAILABLE,NORMAL
A0306,DEL-BLR,SpiceJet,7383,6927.0,6.58,AVAILABLE,NORMAL
A0307,BOM-BLR,IndiGo,5327,6133.5,-13.15,AVAILABLE,NORMAL
A0308,DEL-CCU,Air India Express,7783,6581.5,18.26,AVAILABLE,NORMAL
A0309,BOM-BLR,Akasa Air,9683,6133.5,57.87,AVAILABLE,NORMAL
A0310,DEL-CCU,Air India Express,7206,6581.5,9.49,AVAILABLE,NORMAL
A0311,BLR-HYD,Air India,4340,6792.5,-36.11,AVAILABLE,NORMAL
A0312,DEL-BLR,IndiGo,6140,6927.0,-11.36,AVAILABLE,NORMAL
